person_id,author_raw,work_id,author_order,n_authors,position
person:m rangel,M. Rangel,work_3d25f36feef3f4d0,2,4,middle
person:ariana gayban,Ariana J. Gayban,work_3d61aeab949bc36b,3,12,middle
person:kevin christie,Kevin W. Christie,work_3d61aeab949bc36b,4,12,middle
person:selina hilpert,Selina Hilpert,work_3d61aeab949bc36b,8,12,middle
person:patrick callaerts,Patrick Callaerts,work_3d61aeab949bc36b,9,12,middle
person:floris van breugel,Floris van Breugel,work_3d61aeab949bc36b,10,12,middle
person:leon merfort,Leon Merfort,work_3d98d18aeb1fdbbf,2,6,middle
person:ruben gepner,Ruben Gepner,work_3dbce6aa5261fb05,8,17,middle
person:marc gershow,Marc H. Gershow,work_3dbce6aa5261fb05,12,17,middle
person:z han,Z. Han,work_3e58e01b1b6afbaf,4,10,middle
person:jessica tremblay,Jessica T. Tremblay,work_3e58e01b1b6afbaf,5,10,middle
person:h moon,H. Moon,work_3e58e01b1b6afbaf,7,10,middle
person:daniel marcellino,Daniel Marcellino,work_3e58e01b1b6afbaf,8,10,middle
person:david dunson,David B. Dunson,work_3e58e01b1b6afbaf,9,10,middle
person:nir ratner,Nir Ratner,work_3f0421e54f4413e8,2,4,middle
person:steven mayerl,Steven J. Mayerl,work_3f85fd1498cd4c6b,2,8,middle
person:mark banghart,Mark Banghart,work_3f85fd1498cd4c6b,4,8,middle
person:cole bacig,Cole Bacig,work_3f85fd1498cd4c6b,5,8,middle
person:maria fernandez zepeda,Maria A. Fernandez Zepeda,work_3f85fd1498cd4c6b,6,8,middle
person:dionysios perdikis,Dionysios Perdikis,work_3fd452a2623069a1,2,9,middle
person:j meier,J. Meier,work_3fd452a2623069a1,3,9,middle
person:alberto mazzoni,Alberto Mazzoni,work_3fd452a2623069a1,6,9,middle
person:g ferrigno,G. Ferrigno,work_3fd452a2623069a1,7,9,middle
person:p ritter,P. Ritter,work_3fd452a2623069a1,8,9,middle
person:jonathan klimesch,Jonathan Klimesch,work_3fddccfee3181b91,4,10,middle
person:andrei mancu,Andrei Mancu,work_3fddccfee3181b91,6,10,middle
person:hashir ahmad,Hashir Ahmad,work_3fddccfee3181b91,7,10,middle
person:p de koninck,P. De Koninck,work_3ff2d8d7b19a260c,2,4,middle
person:abraham snyder,Abraham Z. Snyder,work_403be6bf6a79f219,3,24,middle
person:j wilson,J. A. Wilson,work_403be6bf6a79f219,5,24,middle
person:m ramaratnam,M. Ramaratnam,work_403be6bf6a79f219,10,24,middle
person:m house,M. House,work_403be6bf6a79f219,16,24,middle
person:erin reid,Erin Reid,work_403be6bf6a79f219,18,24,middle
person:j harwell,J. Harwell,work_403be6bf6a79f219,19,24,middle
person:jon schindler,Jon Schindler,work_403be6bf6a79f219,21,24,middle
person:h pao,H. Pao,work_4056ab75c914db70,3,5,middle
person:david mankus,David Mankus,work_406c25e780e295c9,2,10,middle
person:m yamagata,M. Yamagata,work_406c25e780e295c9,3,10,middle
person:adi suissa peleg,Adi Suissa-Peleg,work_406c25e780e295c9,6,10,middle
person:m meister,M. Meister,work_406c25e780e295c9,7,10,middle
person:lindsey fernandez,Lindsey R. Fernandez,work_411b979fc16bbb2d,6,10,middle
person:bettina brokowski,Bettina Brokowski,work_41fd01a3460815f1,4,9,middle
person:a gulyas,A. Gulyás,work_42ac0b1d50535d45,2,5,middle
person:christoph giez,Christoph Giez,work_43701c72bf8d7450,2,14,middle
person:l dekens,L. Dekens,work_43701c72bf8d7450,8,14,middle
person:james di frisco,James Di Frisco,work_43701c72bf8d7450,9,14,middle
person:paolo boldi,Paolo Boldi,work_43b7faaf8820340a,2,4,middle
person:moein khajehnejad,Moein Khajehnejad,work_43de2b21d37088ef,3,4,middle
person:tyler borrman,Tyler Borrman,work_43f9348b8e8dc3dc,2,24,middle
person:n schrode,N. Schrode,work_43f9348b8e8dc3dc,4,24,middle
person:erin flaherty,Erin Flaherty,work_43f9348b8e8dc3dc,5,24,middle
person:charlize casino,Charlize Casiño,work_43f9348b8e8dc3dc,6,24,middle
person:samuel powell,Samuel K. Powell,work_43f9348b8e8dc3dc,7,24,middle
person:chittampalli yashaswini,Chittampalli N. Yashaswini,work_43f9348b8e8dc3dc,8,24,middle
person:elizabeth lamarca,Elizabeth A. LaMarca,work_43f9348b8e8dc3dc,9,24,middle
person:bibi kassim,Bibi S. Kassim,work_43f9348b8e8dc3dc,10,24,middle
person:b javidfar,B. Javidfar,work_43f9348b8e8dc3dc,11,24,middle
person:s espeso gil,S. Espeso-Gil,work_43f9348b8e8dc3dc,12,24,middle
person:h won,H. Won,work_43f9348b8e8dc3dc,14,24,middle
person:seok man ho,Seok-Man Ho,work_43f9348b8e8dc3dc,16,24,middle
person:g hoffman,G. Hoffman,work_43f9348b8e8dc3dc,18,24,middle
person:panagiotis roussos,Panagiotis Roussos,work_43f9348b8e8dc3dc,19,24,middle
person:c hahn,C. Hahn,work_43f9348b8e8dc3dc,21,24,middle
person:z weng,Z. Weng,work_43f9348b8e8dc3dc,22,24,middle
person:k brennand,K. Brennand,work_43f9348b8e8dc3dc,23,24,middle
person:eric daniel,Eric Daniel,work_440fb4477db86d46,2,8,middle
person:d johnston,D. Johnston,work_440fb4477db86d46,6,8,middle
person:m alzubaidi,M. Alzubaidi,work_4422d2e92d67043e,2,6,middle
person:corrado cali,Corrado Calí,work_4422d2e92d67043e,4,6,middle
person:katy pannoni,Katy E. Pannoni,work_4488387d1a4d2480,2,15,middle
person:michael crump,Michael G. Crump,work_4488387d1a4d2480,4,15,middle
person:michelle sung,Michelle Sung,work_4488387d1a4d2480,5,15,middle
person:vyoma popat,Vyoma Popat,work_4488387d1a4d2480,6,15,middle
person:camilia zaher,Camilia Zaher,work_4488387d1a4d2480,7,15,middle
person:emma hicks,Emma Hicks,work_4488387d1a4d2480,8,15,middle
person:nikan mofakham,Nikan Mofakham,work_4488387d1a4d2480,10,15,middle
person:peining li,Peining Li,work_4488387d1a4d2480,11,15,middle
person:evangelos antzoulatos,Evangelos G. Antzoulatos,work_4488387d1a4d2480,12,15,middle
person:diasynou fioravante,Diasynou Fioravante,work_4488387d1a4d2480,13,15,middle
person:m noorman,M. Noorman,work_4514cd847994dcc7,7,13,middle
person:chuntao dan,Chuntao Dan,work_4514cd847994dcc7,9,13,middle
person:a hermundstad,A. Hermundstad,work_4514cd847994dcc7,11,13,middle
person:d grass boada,D. H. Grass-Boada,work_4520228f7f3302c2,2,3,middle
person:andrew berger,Andrew B. Berger,work_467a6cc67c703560,2,9,middle
person:osama ahmed,Osama M. Ahmed,work_467a6cc67c703560,5,9,middle
person:s thiberge,S. Thiberge,work_467a6cc67c703560,7,9,middle
person:anton nathanson,Anton D. Nathanson,work_46bdc3971bd8649f,2,6,middle
person:t garbowski,T. Garbowski,work_46bdc3971bd8649f,3,6,middle
person:u knothe,U. Knothe,work_46bdc3971bd8649f,4,6,middle
person:brianna parrington,Brianna A Parrington,work_4705ee19f49ae2b4,7,8,middle
person:najla masoodpanah,Najla Masoodpanah,work_4763c86ef9823a58,8,15,middle
person:anna lavergne,Anna LaVergne,work_4799561fb5fe8c10,2,3,middle
person:hagar lavian,Hagar Lavian,work_484939fab9ad128d,2,6,middle
person:vilim stih,Vilim Štih,work_484939fab9ad128d,5,6,middle
person:morgan endreson,Morgan L Endreson,work_48cfa5f3aa4b5d20,7,13,middle
person:guiyuan shi,Guiyuan Shi,work_49cdb39886a56ede,3,5,middle
person:lirong zheng,Lirong Zheng,work_49cdb39886a56ede,4,5,middle
person:camilla roselli,Camilla Roselli,work_4a0e8435e3699a88,2,4,middle
person:isaac cervantes sandoval,Isaac Cervantes-Sandoval,work_4a0e8435e3699a88,3,4,middle
person:dinara bulgari,Dinara Bulgari,work_4a3e75dfbab9096e,3,10,middle
person:sydney gregg,Sydney N. Gregg,work_4a3e75dfbab9096e,5,10,middle
person:xiju xia,Xiju Xia,work_4a3e75dfbab9096e,6,10,middle
person:brigitte schmidt,Brigitte F. Schmidt,work_4a3e75dfbab9096e,8,10,middle
person:d deitcher,D. Deitcher,work_4a3e75dfbab9096e,9,10,middle
person:m puppin,M. Puppin,work_4a82596aff271554,2,10,middle
person:m kessler,M. Kessler,work_4a82596aff271554,3,10,middle
person:14 viasommarive,14 ViaSommarive,work_4a82596aff271554,4,10,middle
person:38123 povo,38123 Povo,work_4a82596aff271554,5,10,middle
person:italy,Italy,work_4a82596aff271554,6,10,middle
person:d galilei,D. Galilei',work_4a82596aff271554,7,10,middle
person:u padova,U. Padova,work_4a82596aff271554,8,10,middle
person:8 viamarzolo,8. viaMarzolo,work_4a82596aff271554,9,10,middle
person:s vohra,S. Vohra,work_4aacd75f73cf971f,6,27,middle
person:jay savaliya,Jay H. Savaliya,work_4aacd75f73cf971f,8,27,middle
person:heike naumann,Heike Naumann,work_4aacd75f73cf971f,11,27,middle
person:maren eberle,Maren Eberle,work_4aacd75f73cf971f,12,27,middle
person:simone rencken,Simone Rencken,work_4aacd75f73cf971f,13,27,middle
person:katja slangewal,Katja Slangewal,work_4aacd75f73cf971f,17,27,middle
person:kim kirchberger,Kim N. Kirchberger,work_4aacd75f73cf971f,21,27,middle
person:i bianco,I. H. Bianco,work_4aacd75f73cf971f,22,27,middle
person:d baum,D. Baum,work_4aacd75f73cf971f,23,27,middle
person:filippo del bene,Filippo Del Bene,work_4aacd75f73cf971f,24,27,middle
person:murat keceli,Murat Keçeli,work_4ab664454d56c724,4,8,middle
person:misha salim,Misha Salim,work_4ab664454d56c724,5,8,middle
person:yasuhiro nakai,Yasuhiro Nakai,work_4b3bfeede41c04c0,2,8,middle
person:s fujimoto,S. Fujimoto,work_4b3bfeede41c04c0,3,8,middle
person:rie takayama,Rie Takayama,work_4b3bfeede41c04c0,4,8,middle
person:shuhei yoshida,Shuhei Yoshida,work_4b3bfeede41c04c0,5,8,middle
person:t kitajima,T. Kitajima,work_4b3bfeede41c04c0,6,8,middle
person:makoto sato,Makoto Sato,work_4b3bfeede41c04c0,7,8,middle
person:rabiah dhaliwal,Rabiah Dhaliwal,work_4b92ca8485717239,2,5,middle
person:molly stanley,Molly Stanley,work_4b92ca8485717239,3,5,middle
person:pierre junca,Pierre Junca,work_4b92ca8485717239,4,5,middle
person:a browning,A. Browning,work_4ba1c97ceb43aab4,2,6,middle
person:l lechner,L. Lechner,work_4ba1c97ceb43aab4,3,6,middle
person:gillian howard,Gillian Howard,work_4ba1c97ceb43aab4,5,6,middle
person:chang|p,Po-Yen Chang,work_4c57aec0d5a67e11,2,4,middle
person:hsiao|p,Pao-Yueh Hsiao,work_4c57aec0d5a67e11,3,4,middle
person:justin shobe,Justin L. Shobe,work_4c9a911feecbe13c,2,6,middle
person:aida andujo,Aida M. Andujo,work_4c9a911feecbe13c,3,6,middle
person:wing ning,Wing Ning,work_4c9a911feecbe13c,4,6,middle
person:christelle anaclet,Christelle Anaclet,work_4c9a911feecbe13c,5,6,middle
person:pierre sacre,Pierre Sacré,work_4ced3a721c9acbc2,3,4,middle
person:n parikh,N. Parikh,work_4cf7859925bc6f52,2,5,middle
person:grace hwang,Grace M. Hwang,work_4d00298c33d3d45c,4,8,middle
person:pia kruse,Pia Kruse,work_4d0bb2dac32d5f80,2,8,middle
person:amelie eichler,Amelie Eichler,work_4d0bb2dac32d5f80,3,8,middle
person:hanna hemeling,Hanna Hemeling,work_4d0bb2dac32d5f80,5,8,middle
person:phyllis stohr,Phyllis Stöhr,work_4d0bb2dac32d5f80,6,8,middle
person:r pocock,R. Pocock,work_4d35d34b923b60d1,3,4,middle
person:p van eijndhoven,P. V. van Eijndhoven,work_4d5f8126d96042c6,2,5,middle
person:a schene,A. Schene,work_4d5f8126d96042c6,3,5,middle
person:c beckmann,C. Beckmann,work_4d5f8126d96042c6,4,5,middle
person:mighten yip,Mighten C. Yip,work_4d8693046463c36c,2,7,middle
person:aditi kumar,Aditi Kumar,work_4d8693046463c36c,3,7,middle
person:colby lewallen,Colby F. Lewallen,work_4d8693046463c36c,4,7,middle
person:mona matar,Mona Matar,work_4de777fd03b81fa4,2,5,middle
person:s gokoglu,S. Gokoglu,work_4de777fd03b81fa4,3,5,middle
person:r prabhu,R. K. Prabhu,work_4de777fd03b81fa4,4,5,middle
person:alaba sotayo,Alaba Sotayo,work_4deb27b42801f710,2,6,middle
person:alejandro cazzulino,Alejandro Cazzulino,work_4deb27b42801f710,3,6,middle
person:anna snyder,Anna M. Snyder,work_4deb27b42801f710,4,6,middle
person:c denny,C. Denny,work_4deb27b42801f710,5,6,middle
person:q dou,Q. Dou,work_4e304075a32337e8,2,5,middle
person:e bliss moreau,E. Bliss-Moreau,work_4e599e7a45cded14,2,8,middle
person:christopher machado,Christopher J. Machado,work_4e599e7a45cded14,3,8,middle
person:j bennett,J. Bennett,work_4e599e7a45cded14,4,8,middle
person:k grant,K. Grant,work_4e599e7a45cded14,6,8,middle
person:sven goedeke,Sven Goedeke,work_4ed8dbe602f5a391,2,4,middle
person:christian klos,Christian Klos,work_4ed8dbe602f5a391,3,4,middle
person:asta kastanauskaite,Asta Kastanauskaite,work_4eeefad5ede282bc,3,6,middle
person:emily benson,Emily K. Benson,work_4f1a3d9f690cb72b,2,8,middle
person:noah flint,Noah A Flint,work_4f1a3d9f690cb72b,3,8,middle
person:louis dye,Louis E. Dye,work_4f1a3d9f690cb72b,4,8,middle
person:melissa chimento,Melissa F. Chimento,work_4f1a3d9f690cb72b,5,8,middle
person:edward phillips,Edward H. Phillips,work_4f1a3d9f690cb72b,6,8,middle
person:yixin zang,Yixin Zang,work_4f78bbf96074b734,2,19,middle
person:giovanni frighetto,Giovanni Frighetto,work_4f78bbf96074b734,3,19,middle
person:roni hussein,Roni H. Hussein,work_4f78bbf96074b734,11,19,middle
person:aileen morris,Aileen Morris,work_4f78bbf96074b734,14,19,middle
person:mark frye,Mark A. Frye,work_4f78bbf96074b734,15,19,middle
person:yi zeng,Yi Zeng,work_4f8595c70c667637,2,3,middle
person:german kostinger,German Köstinger,work_4f923dc785f0b321,2,5,middle
person:k martin,K. Martin,work_4f923dc785f0b321,3,5,middle
person:emma yang,Emma Yang,work_4fbc226ee1288c01,2,16,middle
person:mona wang,Mona D. Wang,work_4fbc226ee1288c01,4,16,middle
person:brandon drescher,Brandon Drescher,work_4fbc226ee1288c01,10,16,middle
person:p katz,P. Katz,work_4fbc226ee1288c01,13,16,middle
person:yujie hou,Yujie Hou,work_4fe68bf7b16d89dc,2,11,middle
person:m inoue murayama,M. Inoue‐Murayama,work_4fe68bf7b16d89dc,6,11,middle
person:e yacoub,E. Yacoub,work_4fe68bf7b16d89dc,8,11,middle
person:e donahue,E. Donahue,work_502f3fcda5afe2ef,2,7,middle
person:michael renteln,Michael Renteln,work_502f3fcda5afe2ef,4,7,middle
person:g petzinger,G. Petzinger,work_502f3fcda5afe2ef,5,7,middle
person:m jakowec,M. Jakowec,work_502f3fcda5afe2ef,6,7,middle
person:yuki ishikawa,Yuki Ishikawa,work_505838ecf6e68bb5,2,6,middle
person:r tanaka,R. Tanaka,work_505838ecf6e68bb5,5,6,middle
person:lucas benoit,Lucas Benoït,work_50d091001b66a2d0,4,12,middle
person:p busca,P. Busca,work_50d091001b66a2d0,5,12,middle
person:t martin,T. Martin,work_50d091001b66a2d0,6,12,middle
person:wangchu xiang,Wangchu Xiang,work_50d091001b66a2d0,8,12,middle
person:g margaritondo,G. Margaritondo,work_50d4ca5184367aa3,2,3,middle
person:haneen mohammed,Haneen Mohammed,work_50ff4d262c166d92,2,6,middle
person:j ledue,J. LeDue,work_510f1f5d7f3a7c0c,2,3,middle
person:shangbang gao,Shangbang Gao,work_513dc388c55b10f8,2,3,middle
person:p maia,P. Maia,work_51c880b1d507bd3d,2,5,middle
person:min ye,Min Ye,work_52349a07a8609609,13,22,middle
person:tong jiao,Tong Jiao,work_528bb07484e5be14,2,12,middle
person:cai yun deng,Cai-yun Deng,work_52b580bc3bd18b49,2,6,middle
person:liu fan,Liu Fan,work_52b580bc3bd18b49,3,6,middle
person:ching po lin,Chin-I Lin,work_52c3157475b348eb,3,7,middle
person:liam mccoy,Liam McCoy,work_52c3157475b348eb,4,7,middle
person:tate tower,Tate Tower,work_52ec108909a440ab,2,5,middle
person:hannah lax,Hannah Lax,work_52ec108909a440ab,3,5,middle
person:marc thorsten hutt,Marc-Thorsten Hutt,work_52ec108909a440ab,4,5,middle
person:e padilla,E. Padilla,work_530500d5198cf600,3,10,middle
person:s kaur,S. Kaur,work_530500d5198cf600,4,10,middle
person:rabina kaur,Rabina Kaur,work_530500d5198cf600,5,10,middle
person:m nguyen,M. Nguyen,work_530500d5198cf600,6,10,middle
person:ann nelson,Ann Nelson,work_530500d5198cf600,7,10,middle
person:s khalsa,S. Khalsa,work_530500d5198cf600,8,10,middle
person:a younossi hartenstein,A. Younossi‐Hartenstein,work_530500d5198cf600,9,10,middle
person:vinoth babu veedin rajan,Vinoth Babu Veedin Rajan,work_5347d2a55426a9b6,4,12,middle
person:cristina pineiro lopez,Cristina Piñeiro-Lopez,work_5347d2a55426a9b6,6,12,middle
person:n michiels,N. Michiels,work_5347d2a55426a9b6,9,12,middle
person:s yokoyama,S. Yokoyama,work_5347d2a55426a9b6,10,12,middle
person:nils ceberg,Nils Ceberg,work_535320495abd46fc,3,14,middle
person:atticus pinzon rodriguez,Atticus Pinzon-Rodriguez,work_535320495abd46fc,5,14,middle
person:ebba sundberg gunnarsson,Ebba Sundberg Gunnarsson,work_535320495abd46fc,9,14,middle
person:felicia szadaj,Felicia Szadaj,work_535320495abd46fc,10,14,middle
person:saroja ellendula,Saroja Ellendula,work_535320495abd46fc,11,14,middle
person:anna honkanen,Anna Honkanen,work_535320495abd46fc,12,14,middle
person:ajay narendra,Ajay Narendra,work_535320495abd46fc,13,14,middle
person:m istiban,M. Istiban,work_5358e3a3d6b06625,2,5,middle
person:l temmerman,L. Temmerman,work_5358e3a3d6b06625,4,5,middle
person:c beron,C. Beron,work_53f15f1014414aec,2,3,middle
person:kyle harrington,Kyle Harrington,work_542d289b1df8abc6,38,84,middle
person:sumit kumar vohra,Sumit Kumar Vohra,work_544c5eb927deccab,14,70,middle
person:zachary miller,Zachary Miller,work_544c5eb927deccab,20,70,middle
person:kathryn hebert,Kathryn B. Hebert,work_544c5eb927deccab,21,70,middle
person:m taylor,M. Taylor,work_544c5eb927deccab,23,70,middle
person:sam dvorak,Sam Dvorak,work_544c5eb927deccab,30,70,middle
person:zainab faik,Zainab Faik,work_544c5eb927deccab,31,70,middle
person:kareem king,Kareem I. King,work_544c5eb927deccab,32,70,middle
person:pallavi goel,Pallavi Goel,work_544c5eb927deccab,33,70,middle
person:dominick contreas,Dominick Contreas,work_544c5eb927deccab,37,70,middle
person:akila muthukumar,Akila V. Muthukumar,work_544c5eb927deccab,39,70,middle
person:marina vernaglia,Marina S. Vernaglia,work_544c5eb927deccab,40,70,middle
person:teodoro tapia carrasco,Teodoro Tapia Carrasco,work_544c5eb927deccab,41,70,middle
person:s melnychuck,S. Melnychuck,work_544c5eb927deccab,42,70,middle
person:tingting yan,TingTing Yan,work_544c5eb927deccab,43,70,middle
person:ananya dalal,Ananya Dalal,work_544c5eb927deccab,44,70,middle
person:james dimartino,James M. DiMartino,work_544c5eb927deccab,45,70,middle
person:nana safo mensa,Nana Safo-Mensa,work_544c5eb927deccab,47,70,middle
person:e greenberg,E. Greenberg,work_544c5eb927deccab,48,70,middle
person:edoardo imprima,Edoardo D’Imprima,work_54b48e88cbc2ee28,4,13,middle
person:benedikt best,Benedikt T. Best,work_54b48e88cbc2ee28,5,13,middle
person:lucia cassella,Lucia Cassella,work_54b48e88cbc2ee28,6,13,middle
person:sebastian schnorrenberg,Sebastian Schnorrenberg,work_54b48e88cbc2ee28,7,13,middle
person:m montero,M. G. Montero,work_54b48e88cbc2ee28,8,13,middle
person:m jechlinger,M. Jechlinger,work_54b48e88cbc2ee28,9,13,middle
person:a ephrussi,A. Ephrussi,work_54b48e88cbc2ee28,10,13,middle
person:m leptin,M. Leptin,work_54b48e88cbc2ee28,11,13,middle
person:j mahamid,J. Mahamid,work_54b48e88cbc2ee28,12,13,middle
person:a iyer,A. Iyer,work_54c833a2b3464360,2,5,middle
person:john ewer,John Ewer,work_54c833a2b3464360,4,5,middle
person:jun wen,Jun Wen,work_55546f314d441530,3,8,middle
person:lucille duquenoy,Lucille Duquenoy,work_55710d158a1a37b5,2,5,middle
person:yiran cheng,Yiran Cheng,work_55a637a99f2abc58,4,7,middle
person:fei sun,Fei Sun,work_55a637a99f2abc58,6,7,middle
person:yuchuan qiao,Yuchuan Qiao,work_55afa73b6c08e935,2,3,middle
person:charalampos tsourakakis,Charalampos E. Tsourakakis,work_55ce3fd567669f6c,4,7,middle
person:michael,Michael,work_55ce3fd567669f6c,5,7,middle
person:mitzenmacher,Mitzenmacher,work_55ce3fd567669f6c,6,7,middle
person:john paylor,John W. Paylor,work_5612dfe54fad9918,2,6,middle
person:j wong,J. T. Wong,work_5612dfe54fad9918,3,6,middle
person:i winship,I. Winship,work_5612dfe54fad9918,4,6,middle
person:g baker,G. Baker,work_5612dfe54fad9918,5,6,middle
person:n charon,N. Charon,work_5646fd682952c8b6,2,10,middle
person:m miller,M. Miller,work_5646fd682952c8b6,3,10,middle
person:j ratnanather,J. Ratnanather,work_5646fd682952c8b6,4,10,middle
person:t peng,T. Peng,work_5672c64d21c23a39,2,5,middle
person:m duarte,M. Duarte,work_5672c64d21c23a39,3,5,middle
person:g andreatta,G. Andreatta,work_56c6cf090809380d,5,24,middle
person:g balavoine,G. Balavoine,work_56c6cf090809380d,6,24,middle
person:p bertucci,P. Bertucci,work_56c6cf090809380d,7,24,middle
person:d ferrier,D. Ferrier,work_56c6cf090809380d,8,24,middle
person:m gambi,M. Gambi,work_56c6cf090809380d,9,24,middle
person:e gazave,E. Gazave,work_56c6cf090809380d,10,24,middle
person:m handberg thorsager,M. Handberg-Thorsager,work_56c6cf090809380d,11,24,middle
person:j hardege,J. Hardege,work_56c6cf090809380d,12,24,middle
person:cameron hird,Cameron Hird,work_56c6cf090809380d,13,24,middle
person:y hsieh,Y. Hsieh,work_56c6cf090809380d,14,24,middle
person:j hui,J. Hui,work_56c6cf090809380d,15,24,middle
person:kevin nzumbi mutemi,Kevin Nzumbi Mutemi,work_56c6cf090809380d,16,24,middle
person:o simakov,O. Simakov,work_56c6cf090809380d,18,24,middle
person:michel vervoort,Michel Vervoort,work_56c6cf090809380d,20,24,middle
person:f raible,F. Raible,work_56c6cf090809380d,23,24,middle
person:h lyden,H. Lyden,work_570ccc0ab045e65e,5,10,middle
person:arleen grewal,Arleen K. Grewal,work_570ccc0ab045e65e,7,10,middle
person:z marin,Z. Marin,work_576d4811bf1e3849,2,19,middle
person:c yapp,C. Yapp,work_576d4811bf1e3849,3,19,middle
person:qiongjing zou,Qiongjing Zou,work_576d4811bf1e3849,4,19,middle
person:b nanes,B. Nanes,work_576d4811bf1e3849,5,19,middle
person:s daetwyler,S. Daetwyler,work_576d4811bf1e3849,6,19,middle
person:andrew jamieson,Andrew R. Jamieson,work_576d4811bf1e3849,7,19,middle
person:md torikul islam,Md Torikul Islam,work_576d4811bf1e3849,8,19,middle
person:edward jenkins,Edward Jenkins,work_576d4811bf1e3849,9,19,middle
person:g gihana,G. Gihana,work_576d4811bf1e3849,10,19,middle
person:hazel borges,Hazel M. Borges,work_576d4811bf1e3849,12,19,middle
person:bo jui chang,Bo-Jui Chang,work_576d4811bf1e3849,13,19,middle
person:andrew weems,Andrew D. Weems,work_576d4811bf1e3849,14,19,middle
person:sean morrison,Sean J. Morrison,work_576d4811bf1e3849,15,19,middle
person:p sorger,P. Sorger,work_576d4811bf1e3849,16,19,middle
person:r fiolka,R. Fiolka,work_576d4811bf1e3849,17,19,middle
person:kevin dean,Kevin M. Dean,work_576d4811bf1e3849,18,19,middle
person:a charney,A. Charney,work_579bab55f1835737,6,8,middle
person:brian kopell,Brian H Kopell,work_579bab55f1835737,7,8,middle
person:yong yeol ahn,Yong-Yeol Ahn,work_57c24704856cf86c,3,5,middle
person:tom hindmarsh sten,Tom Hindmarsh Sten,work_582b4134fbc951cc,2,13,middle
person:adam taylor,Adam L. Taylor,work_582b4134fbc951cc,9,13,middle
person:kristin branson,Kristin M. Branson,work_582b4134fbc951cc,10,13,middle
person:adriane otopalik,Adriane G. Otopalik,work_582b4134fbc951cc,11,13,middle
person:vanessa ruta,Vanessa Ruta,work_582b4134fbc951cc,12,13,middle
person:kassandra weber,Kassandra Weber,work_5881c31b6290ea43,5,10,middle
person:a arcidiacono,A. Arcidiacono,work_5881c31b6290ea43,7,10,middle
person:robert klie,Robert F. Klie,work_5881c31b6290ea43,8,10,middle
person:nicholas baumann,Nicholas S Baumann,work_58a01d3dacde814f,3,4,middle
person:jochen eppler,Jochen M. Eppler,work_59719b09bf6b2511,3,6,middle
person:h plesser,H. Plesser,work_59719b09bf6b2511,4,6,middle
person:a morrison,A. Morrison,work_59719b09bf6b2511,5,6,middle
person:d moore,D. Moore,work_5985ee7f25014d98,2,6,middle
person:taryn rodman,Taryn M. Rodman,work_59d22903e5457a0a,6,13,middle
person:a grotemeyer,A. Grotemeyer,work_59e0aae4c48bf275,3,5,middle
person:jennifer bourne,Jennifer N. Bourne,work_5a150d031329b4d0,5,7,middle
person:ayizuohere tudi,Ayizuohere Tudi,work_5a217fc9180eb033,2,9,middle
person:xu an,Xu An,work_5a217fc9180eb033,4,9,middle
person:z huang,Z. J. Huang,work_5a217fc9180eb033,7,9,middle
person:guoxin fan,Guoxin Fan,work_5a544ca02f2eeb6f,2,4,middle
person:xuhong liao,X. Liao,work_5a544ca02f2eeb6f,3,4,middle
person:flywire consortium,FlyWire Consortium,work_5a5bf6e6db192920,27,33,middle
person:scott linderman,Scott W. Linderman,work_5a6c5487632f1a79,4,6,middle
person:g villa,G. Villa,work_5ab2880288b11e04,2,6,middle
person:y yabo,Y. Yabo,work_5ab2880288b11e04,3,6,middle
person:v venkataramani,V. Venkataramani,work_5ab2880288b11e04,4,6,middle
person:f ricklefs,F. Ricklefs,work_5ab2880288b11e04,5,6,middle
person:jacopo biggiogera,Jacopo Biggiogera,work_5abec42a57c2d02e,2,3,middle
person:james labyer,James A. Labyer,work_5ad30986684078d8,3,24,middle
person:andrea nam,Andrea J. Nam,work_5ad30986684078d8,7,24,middle
person:erik ferlanti,Erik S. Ferlanti,work_5ad30986684078d8,11,24,middle
person:jake rosenberg,Jake Rosenberg,work_5ad30986684078d8,12,24,middle
person:sal tijerina,Sal Tijerina,work_5ad30986684078d8,13,24,middle
person:h prochaska,H. Prochaska,work_5ad30986684078d8,14,24,middle
person:william allen,William J. Allen,work_5ad30986684078d8,16,24,middle
person:tiffany huff,Tiffany Huff,work_5ad30986684078d8,17,24,middle
person:thomas middendorf,Thomas R Middendorf,work_5ad30986684078d8,19,24,middle
person:lm kirk,LM Kirk,work_5ad30986684078d8,20,24,middle
person:joe stubbs,Joe Stubbs,work_5ad30986684078d8,21,24,middle
person:m dahan,M. Dahan,work_5ad30986684078d8,22,24,middle
person:j spaltenstein,J. Spaltenstein,work_5b3cc3d12b85117b,7,13,middle
person:kannan uv,Kannan Uv,work_5b3cc3d12b85117b,9,13,middle
person:kaitlyn boone,Kaitlyn N. Boone,work_5b77410c83eb9025,2,15,middle
person:marryn bennett,Marryn M. Bennett,work_5b77410c83eb9025,3,15,middle
person:kaleb hatch,Kaleb Hatch,work_5b77410c83eb9025,6,15,middle
person:raven allen,Raven F. Allen,work_5b77410c83eb9025,7,15,middle
person:alec phelps,Alec M. Phelps,work_5b77410c83eb9025,8,15,middle
person:k daly,K. Daly,work_5b77410c83eb9025,14,15,middle
person:k menon,K. Menon,work_5bef28b8ac0b334f,4,12,middle
