label,works,graph_matched,median_in_degree,median_out_degree,median_total_degree,median_out_in_ratio,median_k_core,median_pagerank_percentile,citation_roles,citation_link_strength,weak_links,weak_unlinked,ultra_core,community_id,community_label,core,adjacent,role_bridge
A. Morales-Gregorio / Karolína Korvasová,1,1,0.0,11.0,11.0,11.0,8.0,0.0491,{'only_out': 1},{'strong': 1},0,0,0,134,A. Morales-Gregorio / Karolína Korvasová,1,0,0
Sophie Bennett / G. Finnerty,1,1,1.0,3.0,4.0,3.0,4.0,0.6854,{'broker': 1},{'moderate': 1},0,0,0,135,Sophie Bennett / G. Finnerty,0,1,0
M. Catani / F. Dell’Acqua,1,0,,,,,,,{},{},0,0,0,136,M. Catani / F. Dell’Acqua,0,1,0
Jong-Hyun Son / J. Bonkowsky,1,1,1.0,1.0,2.0,1.0,2.0,0.7175,{'broker': 1},{'weak': 1},1,0,0,137,Jong-Hyun Son / J. Bonkowsky,0,1,0
Tyler Reese / D. Kelleher,1,0,,,,,,,{},{},0,0,0,138,Tyler Reese / D. Kelleher,0,1,0
A. Salova / Istv'an A. Kov'acs,1,1,3.0,25.0,28.0,8.333,11.0,0.8128,{'broker': 1},{'strong': 1},0,0,0,139,A. Salova / Istv'an A. Kov'acs,1,0,0
Feici Diao / B. White,1,1,1.0,0.0,1.0,0.0,1.0,0.8317,{'only_in': 1},{'weak': 1},1,0,0,140,Feici Diao / B. White,0,1,0
Gonzalo Budelli / Carmen Bolatto,1,1,0.0,2.0,2.0,2.0,2.0,0.437,{'only_out': 1},{'weak_unlinked': 1},0,1,0,141,Gonzalo Budelli / Carmen Bolatto,0,1,0
Cesar Ceballos / R. Pena,1,1,0.0,17.0,17.0,17.0,11.0,0.0799,{'only_out': 1},{'strong': 1},0,0,0,142,Cesar Ceballos / R. Pena,1,0,0
U. S. Bhat / Kavita Babu,1,1,2.0,1.0,3.0,0.5,3.0,0.829,{'broker': 1},{'moderate': 1},0,0,0,143,U. S. Bhat / Kavita Babu,0,1,0
Ashley N. Hayden / Rachel N. Arey,1,0,,,,,,,{},{},0,0,0,144,Ashley N. Hayden / Rachel N. Arey,0,0,1
Christian Goodbrake / A. Goriely,1,1,0.0,1.0,1.0,1.0,1.0,0.3576,{'only_out': 1},{'weak_unlinked': 1},0,1,0,145,Christian Goodbrake / A. Goriely,0,1,0
M. Bigot / Mariana Alonso,1,1,0.0,1.0,1.0,1.0,1.0,0.0231,{'only_out': 1},{'weak_unlinked': 1},0,1,0,146,M. Bigot / Mariana Alonso,0,1,0
K. Piekarz / Alberto Stolfi,1,0,,,,,,,{},{},0,0,0,147,K. Piekarz / Alberto Stolfi,0,1,0
Ondrej Krejcar / H. Namazi,1,0,,,,,,,{},{},0,0,0,148,Ondrej Krejcar / H. Namazi,0,1,0
James M. Kunert-Graf / D. Galas,1,1,0.0,7.0,7.0,7.0,4.0,0.271,{'only_out': 1},{'moderate': 1},0,0,0,149,James M. Kunert-Graf / D. Galas,1,0,0
Yangfan Peng / Jörg R. P. Geiger,1,1,0.0,1.0,1.0,1.0,1.0,0.241,{'only_out': 1},{'weak_unlinked': 1},0,1,0,150,Yangfan Peng / Jörg R. P. Geiger,0,1,0
Richard Benton / Karen Menuz,1,0,,,,,,,{},{},0,0,0,151,Richard Benton / Karen Menuz,0,1,0
J. Briggs / M. Lakadamyali,1,1,0.0,0.0,0.0,,0.0,0.0096,{'isolate': 1},{'weak_unlinked': 1},0,1,0,152,J. Briggs / M. Lakadamyali,0,1,0
E. Dennis / Paul M. Thompson,1,0,,,,,,,{},{},0,0,0,153,E. Dennis / Paul M. Thompson,0,1,0
Elsa Steinfath / Jan Clemens,1,0,,,,,,,{},{},0,0,0,154,Elsa Steinfath / Jan Clemens,0,0,1
Efrain A. Ribeiro / E. Nestler,1,1,0.0,1.0,1.0,1.0,1.0,0.3616,{'only_out': 1},{'weak_unlinked': 1},0,1,0,155,Efrain A. Ribeiro / E. Nestler,0,1,0
Saarthak Sarup / K. Boahen,1,1,0.0,1.0,1.0,1.0,1.0,0.0934,{'only_out': 1},{'weak_unlinked': 1},0,1,0,156,Saarthak Sarup / K. Boahen,1,0,0
Nova Qi / Wesley B. Grueber,1,1,0.0,6.0,6.0,6.0,6.0,0.5261,{'only_out': 1},{'moderate': 1},0,0,0,157,Nova Qi / Wesley B. Grueber,0,1,0
E. Vivi / B. Di Benedetto,1,1,1.0,0.0,1.0,0.0,1.0,0.7409,{'only_in': 1},{'weak': 1},1,0,0,158,E. Vivi / B. Di Benedetto,0,1,0
Madison Sneve / Kiryl D Piatkevich,1,1,1.0,20.0,21.0,20.0,11.0,0.8787,{'broker': 1},{'strong': 1},0,0,0,159,Madison Sneve / Kiryl D Piatkevich,0,1,0
B. Szalkai / V. Grolmusz,1,0,,,,,,,{},{},0,0,0,160,B. Szalkai / V. Grolmusz,0,0,1
Claudia Gualtieri / Fernando J Vonhoff,1,1,0.0,0.0,0.0,,0.0,0.6578,{'isolate': 1},{'weak_unlinked': 1},0,1,0,161,Claudia Gualtieri / Fernando J Vonhoff,0,1,0
Alexander Braylan / Matthew Lease,1,0,,,,,,,{},{},0,0,0,162,Alexander Braylan / Matthew Lease,0,0,1
M. Veldhuizen / F. Fischmeister,1,0,,,,,,,{},{},0,0,0,163,M. Veldhuizen / F. Fischmeister,0,1,0
Alec Xu / L. Brattain,1,0,,,,,,,{},{},0,0,0,164,Alec Xu / L. Brattain,1,0,0
I. Belevich / E. Jokitalo,1,0,,,,,,,{},{},0,0,0,165,I. Belevich / E. Jokitalo,1,0,0
T. Boccato / N. Toschi,1,1,0.0,10.0,10.0,10.0,7.0,0.3069,{'only_out': 1},{'strong': 1},0,0,0,166,T. Boccato / N. Toschi,0,1,0
Peter Grindrod / R. Sahasrabuddhe,1,0,,,,,,,{},{},0,0,0,167,Peter Grindrod / R. Sahasrabuddhe,1,0,0
Nicholas Roberts / Vinay Uday Prabhu,1,0,,,,,,,{},{},0,0,0,168,Nicholas Roberts / Vinay Uday Prabhu,0,1,0
Safura Rashid Shomali / Sadra Sadeh,1,0,,,,,,,{},{},0,0,0,169,Safura Rashid Shomali / Sadra Sadeh,0,1,0
Michael T Stobb / E. Gahtan,1,1,4.0,8.0,12.0,2.0,5.0,0.9453,{'broker': 1},{'strong': 1},0,0,0,170,Michael T Stobb / E. Gahtan,0,1,0
Timothy W. Dunn / Peter K. Koo,1,1,1.0,1.0,2.0,1.0,1.0,0.875,{'broker': 1},{'weak': 1},1,0,0,171,Timothy W. Dunn / Peter K. Koo,0,1,0
Alison Ehrlich / Justin Blau,1,1,2.0,6.0,8.0,3.0,6.0,0.8564,{'broker': 1},{'moderate': 1},0,0,0,172,Alison Ehrlich / Justin Blau,0,1,0
Emanuele Plebani / M. M. Dundar,1,1,2.0,1.0,3.0,0.5,3.0,0.7364,{'broker': 1},{'moderate': 1},0,0,0,173,Emanuele Plebani / M. M. Dundar,1,0,0
Rachael Stentiford / Paul Graham,1,1,1.0,1.0,2.0,1.0,2.0,0.7483,{'broker': 1},{'weak': 1},1,0,0,175,Rachael Stentiford / Paul Graham,1,0,0
Sebastian J. Kopetzky / Markus Butz-Ostendorf,1,0,,,,,,,{},{},0,0,0,176,Sebastian J. Kopetzky / Markus Butz-Ostendorf,0,1,0
Jørgen Sugar / Natalie L. M. Cappaert,1,0,,,,,,,{},{},0,0,0,177,Jørgen Sugar / Natalie L. M. Cappaert,0,1,0
S. Wernicke / Florian Rasche,1,0,,,,,,,{},{},0,0,0,178,S. Wernicke / Florian Rasche,0,0,1
M. Shakiba / Nima Dehghani,1,1,0.0,10.0,10.0,10.0,7.0,0.2161,{'only_out': 1},{'strong': 1},0,0,0,179,M. Shakiba / Nima Dehghani,1,0,0
Joël Lefebvre / F. Lesage,1,0,,,,,,,{},{},0,0,0,180,Joël Lefebvre / F. Lesage,0,0,1
Haruo Mizutani / Toshihisa Takagi,1,0,,,,,,,{},{},0,0,0,181,Haruo Mizutani / Toshihisa Takagi,0,1,0
Alex J. Yu / C. Rankin,1,1,0.0,1.0,1.0,1.0,1.0,0.4274,{'only_out': 1},{'weak_unlinked': 1},0,1,0,182,Alex J. Yu / C. Rankin,0,1,0
Hua Bai / Lina Ni,1,0,,,,,,,{},{},0,0,0,183,Hua Bai / Lina Ni,0,0,1
Yoav Printz / O. Yizhar,1,1,0.0,1.0,1.0,1.0,1.0,0.6443,{'only_out': 1},{'weak_unlinked': 1},0,1,0,184,Yoav Printz / O. Yizhar,0,1,0
C. Magliaro / A. Ahluwalia,1,0,,,,,,,{},{},0,0,0,185,C. Magliaro / A. Ahluwalia,0,1,0
M. Marx / D. Feldmeyer,1,1,1.0,0.0,1.0,0.0,1.0,0.7985,{'only_in': 1},{'weak': 1},1,0,0,186,M. Marx / D. Feldmeyer,0,1,0
Kazuaki Ikeda / N. Tanaka,1,1,0.0,1.0,1.0,1.0,1.0,0.2171,{'only_out': 1},{'weak_unlinked': 1},0,1,0,187,Kazuaki Ikeda / N. Tanaka,0,1,0
C. Fillinger / P. Veinante,1,1,0.0,1.0,1.0,1.0,1.0,0.0873,{'only_out': 1},{'weak_unlinked': 1},0,1,0,188,C. Fillinger / P. Veinante,0,1,0
Michael G. Zhou / Jennifer O. Hasler,1,1,0.0,4.0,4.0,4.0,4.0,0.2548,{'only_out': 1},{'moderate': 1},0,0,0,189,Michael G. Zhou / Jennifer O. Hasler,1,0,0
Eline Pecho-Vrieseling / S. Arber,1,1,2.0,0.0,2.0,0.0,2.0,0.8253,{'only_in': 1},{'weak': 1},1,0,0,190,Eline Pecho-Vrieseling / S. Arber,0,1,0
S. Sigoillot / F. Selimi,1,1,1.0,0.0,1.0,0.0,1.0,0.9198,{'only_in': 1},{'weak': 1},1,0,0,191,S. Sigoillot / F. Selimi,0,1,0
Luis O. Vargas / Randy S D'Amico,1,1,0.0,1.0,1.0,1.0,1.0,0.6414,{'only_out': 1},{'weak_unlinked': 1},0,1,0,192,Luis O. Vargas / Randy S D'Amico,0,0,1
Leone Costi / Dario Izzo,1,1,3.0,5.0,8.0,1.667,5.0,0.8604,{'broker': 1},{'moderate': 1},0,0,0,193,Leone Costi / Dario Izzo,1,0,0
M. Paveliev / Albert V. Aganov,1,1,0.0,1.0,1.0,1.0,1.0,0.1558,{'only_out': 1},{'weak_unlinked': 1},0,1,0,194,M. Paveliev / Albert V. Aganov,0,1,0
F. Latini / M. Ryttlefors,1,1,0.0,0.0,0.0,,0.0,0.15,{'isolate': 1},{'weak_unlinked': 1},0,1,0,195,F. Latini / M. Ryttlefors,0,0,1
F. Mastrogiuseppe / C. Machens,1,1,0.0,1.0,1.0,1.0,1.0,0.0234,{'only_out': 1},{'weak_unlinked': 1},0,1,0,196,F. Mastrogiuseppe / C. Machens,0,1,0
A. Knoblauch / F. Sommer,1,1,1.0,3.0,4.0,3.0,1.0,0.9294,{'broker': 1},{'moderate': 1},0,0,0,197,A. Knoblauch / F. Sommer,0,1,0
M. Sacha / A. Destexhe,1,1,1.0,1.0,2.0,1.0,2.0,0.7669,{'broker': 1},{'weak': 1},1,0,0,199,M. Sacha / A. Destexhe,0,1,0
M. Pedersen / Amir H. Omidvarnia,1,0,,,,,,,{},{},0,0,0,200,M. Pedersen / Amir H. Omidvarnia,0,0,1
E. A. P. Wright / A. Goltsev,1,1,0.0,3.0,3.0,3.0,3.0,0.6132,{'only_out': 1},{'moderate': 1},0,0,0,201,E. A. P. Wright / A. Goltsev,1,0,0
Colin J. Brown / G. Hamarneh,1,0,,,,,,,{},{},0,0,0,202,Colin J. Brown / G. Hamarneh,0,0,1
O. Paredes / J. A. Morales,1,1,0.0,3.0,3.0,3.0,3.0,0.6214,{'only_out': 1},{'moderate': 1},0,0,0,203,O. Paredes / J. A. Morales,0,1,0
E. Dow / A. Hudspeth,1,1,1.0,0.0,1.0,0.0,1.0,0.7722,{'only_in': 1},{'weak': 1},1,0,0,204,E. Dow / A. Hudspeth,1,0,0
Diya Prasanth / Matthew Tivnan,1,1,0.0,5.0,5.0,5.0,5.0,0.1338,{'only_out': 1},{'moderate': 1},0,0,0,205,Diya Prasanth / Matthew Tivnan,0,1,0
M. van Oostrum / B. Wollscheid,1,1,0.0,1.0,1.0,1.0,1.0,0.3979,{'only_out': 1},{'weak_unlinked': 1},0,1,0,206,M. van Oostrum / B. Wollscheid,0,1,0
L. Vasung / P. Grant,1,1,1.0,0.0,1.0,0.0,1.0,0.8033,{'only_in': 1},{'weak': 1},1,0,0,207,L. Vasung / P. Grant,0,1,0
Jonas Pichat / M. Modat,1,0,,,,,,,{},{},0,0,0,208,Jonas Pichat / M. Modat,0,0,1
J. Ricker / S. Frey,1,0,,,,,,,{},{},0,0,0,209,J. Ricker / S. Frey,0,0,1
B. M. Aleogho / Kentaro Noma,1,0,,,,,,,{},{},0,0,0,210,B. M. Aleogho / Kentaro Noma,0,0,1
Leonid L. Moroz / D. Y. Romanova,1,1,0.0,12.0,12.0,12.0,10.0,0.3249,{'only_out': 1},{'strong': 1},0,0,0,211,Leonid L. Moroz / D. Y. Romanova,0,1,0
Bhanu Priya Somashekar / U. Bhalla,1,1,0.0,3.0,3.0,3.0,3.0,0.3342,{'only_out': 1},{'moderate': 1},0,0,0,212,Bhanu Priya Somashekar / U. Bhalla,0,1,0
V. George / G. Silva,1,1,0.0,14.0,14.0,14.0,7.0,0.12,{'only_out': 1},{'strong': 1},0,0,0,213,V. George / G. Silva,0,1,0
Haoyi Liang / D. Weller,1,0,,,,,,,{},{},0,0,0,214,Haoyi Liang / D. Weller,0,0,1
Patrick B. Chen / J. Flint,1,1,0.0,5.0,5.0,5.0,5.0,0.6411,{'only_out': 1},{'moderate': 1},0,0,0,215,Patrick B. Chen / J. Flint,0,0,1
D. Zendrikov / Alexander Paraskevov,1,1,0.0,0.0,0.0,,0.0,0.666,{'isolate': 1},{'weak_unlinked': 1},0,1,0,216,D. Zendrikov / Alexander Paraskevov,0,1,0
J. Yáñez / R. Anadón,1,1,0.0,1.0,1.0,1.0,1.0,0.4574,{'only_out': 1},{'weak_unlinked': 1},0,1,0,217,J. Yáñez / R. Anadón,0,1,0
M. McDonnell / L. M. Ward,1,1,1.0,3.0,4.0,3.0,4.0,0.6873,{'broker': 1},{'moderate': 1},0,0,0,218,M. McDonnell / L. M. Ward,0,1,0
David J. Smith / T. Starborg,1,1,0.0,4.0,4.0,4.0,4.0,0.2737,{'only_out': 1},{'moderate': 1},0,0,0,219,David J. Smith / T. Starborg,0,1,0
E. Mandonnet / L. Petit,1,0,,,,,,,{},{},0,0,0,220,E. Mandonnet / L. Petit,0,1,0
N. Kraynyukova / T. Tchumatchenko,1,1,1.0,1.0,2.0,1.0,2.0,0.8065,{'broker': 1},{'weak': 1},1,0,0,221,N. Kraynyukova / T. Tchumatchenko,0,1,0
Francesco Bardozzo / R. Tagliaferri,1,1,0.0,8.0,8.0,8.0,5.0,0.6079,{'only_out': 1},{'moderate': 1},0,0,0,222,Francesco Bardozzo / R. Tagliaferri,0,1,0
Stephan Dodt / Henning Fenselau,1,1,0.0,1.0,1.0,1.0,1.0,0.4003,{'only_out': 1},{'weak_unlinked': 1},0,1,0,223,Stephan Dodt / Henning Fenselau,0,1,0
Pablo J. Lituma / Sayan Nandi,1,1,1.0,0.0,1.0,0.0,1.0,0.7539,{'only_in': 1},{'weak': 1},1,0,0,224,Pablo J. Lituma / Sayan Nandi,0,1,0
Zach Tosi / J. Beggs,1,1,0.0,1.0,1.0,1.0,1.0,0.4277,{'only_out': 1},{'weak_unlinked': 1},0,1,0,225,Zach Tosi / J. Beggs,0,1,0
Hania J. Pavlou / S. Goodwin,1,0,,,,,,,{},{},0,0,0,226,Hania J. Pavlou / S. Goodwin,0,1,0
Elizabeth Gross / Despina Stasi,1,1,0.0,2.0,2.0,2.0,2.0,0.1601,{'only_out': 1},{'weak_unlinked': 1},0,1,0,227,Elizabeth Gross / Despina Stasi,0,1,0
V. Zerbi / N. Wenderoth,1,0,,,,,,,{},{},0,0,0,228,V. Zerbi / N. Wenderoth,0,0,1
C. Casadio / F. Benuzzi,1,0,,,,,,,{},{},0,0,0,229,C. Casadio / F. Benuzzi,0,0,1
Nicolas Rault / T. Celikel,1,1,0.0,1.0,1.0,1.0,1.0,0.6172,{'only_out': 1},{'weak_unlinked': 1},0,1,0,230,Nicolas Rault / T. Celikel,0,1,0
Özgün Çiçek / O. Ronneberger,1,0,,,,,,,{},{},0,0,0,231,Özgün Çiçek / O. Ronneberger,0,0,1
Anthony Deluca / M. Arbeitman,1,1,0.0,1.0,1.0,1.0,1.0,0.567,{'only_out': 1},{'weak_unlinked': 1},0,1,0,232,Anthony Deluca / M. Arbeitman,0,1,0
Arent J. Kievits / J. Hoogenboom,1,0,,,,,,,{},{},0,0,0,233,Arent J. Kievits / J. Hoogenboom,0,0,1
Claudia Groh / W. Rössler,1,1,0.0,1.0,1.0,1.0,1.0,0.4176,{'only_out': 1},{'weak_unlinked': 1},0,1,0,234,Claudia Groh / W. Rössler,0,1,0
V. Calbiague-Garcia / O. Marre,1,0,,,,,,,{},{},0,0,0,235,V. Calbiague-Garcia / O. Marre,0,1,0
D. Raman / Timothy O’Leary,1,1,0.0,2.0,2.0,2.0,2.0,0.5739,{'only_out': 1},{'weak_unlinked': 1},0,1,0,236,D. Raman / Timothy O’Leary,0,1,0
A. De Benedictis / C. Marras,1,0,,,,,,,{},{},0,0,0,237,A. De Benedictis / C. Marras,0,1,0
Vikram Nathan / M. Chakravarty,1,0,,,,,,,{},{},0,0,0,238,Vikram Nathan / M. Chakravarty,0,1,0
E. Perisse / S. Trouche,1,1,0.0,2.0,2.0,2.0,2.0,0.4579,{'only_out': 1},{'weak_unlinked': 1},0,1,0,239,E. Perisse / S. Trouche,0,1,0
K. Seymour / Lichtman Jeff,1,1,9.0,1.0,10.0,0.111,9.0,0.9589,{'broker': 1},{'strong': 1},0,0,0,240,K. Seymour / Lichtman Jeff,1,0,0
Anmol Guragain / Juan Ignacio Godino-Llorente,1,1,0.0,2.0,2.0,2.0,2.0,0.4704,{'only_out': 1},{'weak_unlinked': 1},0,1,0,241,Anmol Guragain / Juan Ignacio Godino-Llorente,0,1,0
Naureen A. Hameed / Annika F. Barber,1,1,0.0,1.0,1.0,1.0,1.0,0.3398,{'only_out': 1},{'weak_unlinked': 1},0,1,0,242,Naureen A. Hameed / Annika F. Barber,0,1,0
V. Ivanov,1,0,,,,,,,{},{},0,0,0,243,V. Ivanov,0,0,1
T. Toyoizumi,1,1,0.0,3.0,3.0,3.0,2.0,0.2331,{'only_out': 1},{'moderate': 1},0,0,0,245,T. Toyoizumi,0,1,0
Mu Qiao,1,1,0.0,17.0,17.0,17.0,7.0,0.5835,{'only_out': 1},{'strong': 1},0,0,0,246,Mu Qiao,1,0,0
R. Hoy,1,0,,,,,,,{},{},0,0,0,247,R. Hoy,0,0,1
M. Cobb,1,1,0.0,2.0,2.0,2.0,2.0,0.245,{'only_out': 1},{'weak_unlinked': 1},0,1,0,248,M. Cobb,0,1,0
Xundong Wu,1,1,3.0,4.0,7.0,1.333,6.0,0.8726,{'broker': 1},{'moderate': 1},0,0,0,249,Xundong Wu,1,0,0
Julian Ungar-Sargon,1,1,0.0,0.0,0.0,,0.0,0.0427,{'isolate': 1},{'weak_unlinked': 1},0,1,0,250,Julian Ungar-Sargon,0,1,0
Terri L. Gilbert,1,0,,,,,,,{},{},0,0,0,251,Terri L. Gilbert,0,0,1
M. Vopson,1,0,,,,,,,{},{},0,0,0,252,M. Vopson,0,1,0
Terrence Adams,1,1,0.0,2.0,2.0,2.0,2.0,0.4107,{'only_out': 1},{'weak_unlinked': 1},0,1,0,253,Terrence Adams,1,0,0
Georgia Rapti,1,1,1.0,4.0,5.0,4.0,5.0,0.7303,{'broker': 1},{'moderate': 1},0,0,0,254,Georgia Rapti,0,1,0
J. J. Zhu,1,0,,,,,,,{},{},0,0,0,255,J. J. Zhu,0,1,0
Soroush Vahidi,1,0,,,,,,,{},{},0,0,0,256,Soroush Vahidi,1,0,0
U. Homberg,1,1,0.0,0.0,0.0,,0.0,0.4338,{'isolate': 1},{'weak_unlinked': 1},0,1,0,257,U. Homberg,0,1,0
Sebastien Kawada,1,1,0.0,5.0,5.0,5.0,5.0,0.1739,{'only_out': 1},{'moderate': 1},0,0,0,258,Sebastien Kawada,1,0,0
Pascal Grange,1,1,0.0,1.0,1.0,1.0,1.0,0.592,{'only_out': 1},{'weak_unlinked': 1},0,1,0,259,Pascal Grange,0,1,0
P. Daugulis,1,1,0.0,2.0,2.0,2.0,2.0,0.2217,{'only_out': 1},{'weak_unlinked': 1},0,1,0,260,P. Daugulis,1,0,0
R. Laughlin,1,0,,,,,,,{},{},0,0,0,261,R. Laughlin,0,1,0
Melina E. Hale,1,0,,,,,,,{},{},0,0,0,262,Melina E. Hale,0,1,0
S. Therianos,1,1,0.0,11.0,11.0,11.0,8.0,0.1813,{'only_out': 1},{'strong': 1},0,0,0,263,S. Therianos,1,0,0
A. Gomez-Marin,1,1,0.0,4.0,4.0,4.0,4.0,0.2036,{'only_out': 1},{'moderate': 1},0,0,0,264,A. Gomez-Marin,0,0,1
B. Pailthorpe,1,0,,,,,,,{},{},0,0,0,265,B. Pailthorpe,0,1,0
Kaitlyn Casimo,1,0,,,,,,,{},{},0,0,0,266,Kaitlyn Casimo,0,0,1
V. Brezina,1,0,,,,,,,{},{},0,0,0,267,V. Brezina,0,1,0
K. Stephan,1,0,,,,,,,{},{},0,0,0,268,K. Stephan,0,0,1
Andreu Ballús Santacana,1,1,0.0,2.0,2.0,2.0,2.0,0.4423,{'only_out': 1},{'weak_unlinked': 1},0,1,0,269,Andreu Ballús Santacana,0,1,0
R. Wurtman,1,0,,,,,,,{},{},0,0,0,270,R. Wurtman,0,1,0
Luís F Seoane,1,1,0.0,2.0,2.0,2.0,1.0,0.2978,{'only_out': 1},{'weak_unlinked': 1},0,1,0,271,Luís F Seoane,0,0,1
Leslie C. Griffith,1,0,,,,,,,{},{},0,0,0,272,Leslie C. Griffith,0,1,0
D. Taliaz,1,1,0.0,1.0,1.0,1.0,1.0,0.4587,{'only_out': 1},{'weak_unlinked': 1},0,1,0,273,D. Taliaz,0,1,0
Dawn M. Blitz,1,1,0.0,4.0,4.0,4.0,3.0,0.3106,{'only_out': 1},{'moderate': 1},0,0,0,274,Dawn M. Blitz,0,1,0
J. Kershner,1,0,,,,,,,{},{},0,0,0,275,J. Kershner,0,0,1
Liza Gross,1,1,1.0,0.0,1.0,0.0,1.0,0.8763,{'only_in': 1},{'weak': 1},1,0,0,276,Liza Gross,0,1,0
G. Panagopoulos,1,0,,,,,,,{},{},0,0,0,277,G. Panagopoulos,0,1,0
S. Shipp,1,0,,,,,,,{},{},0,0,0,278,S. Shipp,0,1,0
Bettina Schnell,1,1,0.0,7.0,7.0,7.0,7.0,0.1744,{'only_out': 1},{'moderate': 1},0,0,0,279,Bettina Schnell,0,1,0
Venkatakrishnan Ramaswamy,1,1,0.0,3.0,3.0,3.0,3.0,0.636,{'only_out': 1},{'moderate': 1},0,0,0,280,Venkatakrishnan Ramaswamy,0,1,0
O. Dolgikh,1,0,,,,,,,{},{},0,0,0,281,O. Dolgikh,0,1,0
Ronald L. Davis,1,1,1.0,3.0,4.0,3.0,4.0,0.7144,{'broker': 1},{'moderate': 1},0,0,0,282,Ronald L. Davis,0,1,0
E. White,1,1,1.0,0.0,1.0,0.0,1.0,0.9912,{'only_in': 1},{'weak': 1},1,0,0,283,E. White,0,1,0
J. Wegiel,1,1,1.0,0.0,1.0,0.0,1.0,0.8797,{'only_in': 1},{'weak': 1},1,0,0,284,J. Wegiel,0,1,0
