work_id,year,stage_tags,title,adjudication,reason
work_8d553c90fb7e2b6e,2022.0,graph_analysis,LRRTM3 regulates activity-dependent synchronization of synapse properties in topographically connected hippocampal neural circuits,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_8ef597d9b53d5869,2022.0,,Future Directions for Chemosensory Connectomes: Best Practices and Specific Challenges,keep-rescued,chemosensory connectomes directions
work_8f2d73f1d0e0367a,2025.0,,Four neurons pattern brain-wide developmental activity through neuropeptide signaling,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_92a24ba81c8e5978,2017.0,,Mapping the connectome in awake surgery for gliomas: an update.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_9388ccb7e7e830c1,2021.0,,Confocal Bessel Beam Light-sheet and Expansion Microscopy for Axonal Connectomics of Mammalian Brains,keep-rescued,ExM axonal connectomics
work_971a4ba72345218e,2026.0,graph_analysis;modeling,Inferring state-dependent functional circuit motifs using higher-order interactions analysis,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_97f41e44e771df3f,2022.0,graph_analysis,Simplex Closing Probabilities in Directed Graphs,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_97f48fe8229c5ca1,2024.0,,Future avenues in Drosophila mushroom body research,keep-rescued,fly MB connectome-era review
work_9ca6628105d0c4ad,2023.0,,Technical report: surgical preparation of human brain tissue for clinical and basic research,keep-rescued,human tissue surgical preparation (prep/health)
work_9ca8460cc0327e9f,2020.0,infrastructure,Brain Connectomes Come of Age,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_9f1fa6649aef5d3c,2025.0,graph_analysis;infrastructure;modeling,Organization and Community Usage of a Neuron Type Circuitry Knowledge Base of the Hippocampal Formation,keep-rescued,circuit knowledge-base infrastructure
work_a1d7f92d9b93910a,2025.0,,Synaptic connectivity mapping among thousands of neurons via parallelized intracellular recording with a microhole electrode array,keep-rescued,parallel intracellular synaptic mapping (alt modality)
work_a23fdbf1a9ce14a7,2020.0,graph_analysis,Anatomy of nerve fiber bundles at micrometer-resolution in the vervet monkey visual system,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_a276a8f78d1e7711,2023.0,graph_analysis,Integrating multimodal and multiscale connectivity blueprints of the human cerebral cortex in health and disease,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_a35b2a0f4328b341,2017.0,,Skull optical clearing window for in vivo imaging of the mouse cortex at synaptic resolution,keep-rescued,in vivo synaptic-resolution imaging method
work_a57783ce23fca41d,2025.0,graph_analysis;infrastructure,Controllability analysis of macaque structural connectome from an edge centric perspective,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_a5a5a1b66ee789bc,2021.0,graph_analysis,Topographic connectivity and cellular profiling reveal detailed input pathways and functionally distinct cell types in the subthal,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_a8301f93442a5582,2021.0,graph_analysis;infrastructure;modeling,Subgraph nomination: query by example subgraph retrieval in networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_a8500957e8164024,2026.0,graph_analysis;infrastructure;modeling,Heterogeneous synaptic motifs bridge microscale structure and macroscale nonlinear dynamics,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_a900dd5838645dcc,2018.0,graph_analysis,Preserved Structural Network Organization Mediates Pathology Spread in Alzheimer’s Disease Spectrum Despite Loss of White Matter T,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_a9283c4cc9510a89,2023.0,,Cellular and laminar architecture: A short history and commentary,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_aaa2b75389c9ea4f,2025.0,,Directionality bias underpins divergent spatiotemporal progression of Alzheimer‐related tauopathy in mouse models,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_ab5ed7d2da38a631,2018.0,graph_analysis;infrastructure,From Matrices to Knowledge: Using Semantic Networks to Annotate the Connectome,keep-rescued,connectome annotation/semantics infrastructure
work_ab6296b9c563d6c0,2025.0,graph_analysis;infrastructure,Restoring Network Evolution from Static Structure,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_adc47fb958b56981,2025.0,graph_analysis,Flexible Steering and Conflict Resolution: Pro-Goal/Anti-Goal Gating in Drosophila Lateral Accessory Lobes,keep-rescued,connectome-informed fly circuit
work_af073d72321fd44f,2024.0,graph_analysis,AD Pathology Spreading Detection Using Directional Motifs in Brain Connectomes,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_aff22bed5643522c,2017.0,graph_analysis,Multi-transmitter neurons in the mammalian central nervous system,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_b0f78721c583f805,2024.0,,New rabies viral resources for multi-scale neural circuit mapping,keep-rescued,monosynaptic rabies tools (alt modality)
work_b53d942937a15cc8,2021.0,,Brain injury environment critically influences the connectivity of transplanted neurons,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_b615c7f2d7acb6f5,2021.0,,Anatomical and functional connectomes underlying hierarchical visual processing in mouse visual system,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_b690ec4d0c358a16,2008.0,modeling,"The Neuroanatomist's Dream, the Problems and Solutions, and the Ultimate Aim",keep-rescued,circuit-reconstruction field essay
work_b6c3b27d69c61fa3,2017.0,graph_analysis,Label-free volumetric optical imaging of intact murine brains,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_b833458e7c3a0bc0,2021.0,graph_analysis;infrastructure,Statistical Perspective on Functional and Causal Neural Connectomics: A Comparative Study,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_b8ad6936479c6e73,2022.0,,Genetically encoded sensors for analysing neurotransmission among synaptically-connected neurons,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_b8d5a00c3d287d93,2021.0,graph_analysis,Dense functional and molecular readout of a circuit hub in sensory cortex,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_ba33cffaec20fe30,2020.0,,Dopamine neuron synaptic connectivity defines physiological striatal domains,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_bb2d4b0826e2349f,2016.0,graph_analysis,Discovering and deciphering relationships across disparate data modalities,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_bbba095fdc38c6d5,2020.0,,SEQUIN multiscale imaging of mammalian central synapses reveals loss of synaptic connectivity resulting from diffuse traumatic bra,keep-rescued,synapse-scale LM quantification (SEQUIN)
work_bde35d55d50cc5b1,2021.0,,Determinants of functional synaptic connectivity among amygdala-projecting prefrontal cortical neurons in male mice,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c0a8bda8715ea8bf,2021.0,,Hippocampal and thalamic afferents form distinct synaptic microcircuits in the mouse frontal cortex,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c100d45c17eea38c,2024.0,graph_analysis;infrastructure,VF2-PS: Parallel and Scalable Subgraph Monomorphism in Arachne,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c2676d5e17644f9a,2019.0,,Synaptic Connectivity and Cortical Maturation Are Promoted by the ω-3 Fatty Acid Docosahexaenoic Acid.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c2b70a013a556fea,2009.0,,Activity-Dependent Modulation of Neural Circuit Synaptic Connectivity,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c2e4c49bfa73df15,2025.0,infrastructure,A Network of Biologically Inspired Rectified Spectral Units (ReSUs) Learns Hierarchical Features Without Error Backpropagation,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c3b0d29497a3dbf7,2009.0,modeling,Reconstruction of Sparse Circuits Using Multi-neuronal Excitation (RESCUME),keep-rescued,optical sparse-circuit reconstruction method
work_c5d4203ffdbb350d,2019.0,,Multiplexed peroxidase-based electron microscopy labeling enables simultaneous visualization of multiple cell types,keep-rescued,multiplexed EM labeling method
work_c5ff70e75a7e41e0,2024.0,graph_analysis;infrastructure;modeling,The Syncytial Mesh Model: A Mesoscale Control-Field Framework for Scale-Dependent Coherence in the Brain,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c69a828cba4d708c,2021.0,,Multi-Scale Light-Sheet Fluorescence Microscopy for Fast Whole Brain Imaging,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c75e4516d8791df4,2015.0,,Large-scale imaging in small brains,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c9424ed42c88b962,2025.0,graph_analysis;infrastructure,Stochastic activity in low-rank recurrent neural networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_c9bf6cbc3f5f5e1f,2026.0,,vEMINR: Ultra‐Fast Isotropic Reconstruction for Volume Electron Microscopy With Implicit Neural Representation,keep-rescued,vEM isotropic reconstruction method
work_ca8ca78f7057ee3b,2011.0,graph_analysis;modeling,Modelling human connectome development: precursors to neural circuits,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_cc91c8e0ef1cec88,2017.0,,Connectomics and other novel methods for examining neural systems.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_ccbaaa9ecd746d77,2017.0,,Fragile X Mental Retardation Protein Requirements in Activity-Dependent Critical Period Neural Circuit Refinement,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_cdaba67073fdedc2,2012.0,graph_analysis,Identifying behavioral circuits in Drosophila melanogaster: Moving targets in a flying insect,keep-rescued,fly behavioral circuits review
work_ce3ce4f931b86f19,2011.0,,On the Estimation of Population-Specific Synaptic Currents from Laminar Multielectrode Recordings,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_ce404f1256e58715,2019.0,,The hippocampus of birds in a view of evolutionary connectomics.,keep-rescued,evolutionary connectomics view
work_cf6c526fb507888e,2023.0,,Advanced Immunolabeling Method for Optical Volumetric Imaging Reveals Dystrophic Neurites of Dopaminergic Neurons in Alzheimer’s D,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_cf8597f57b9fa631,2019.0,,Reprint of: Mapping human brain lesions and their functional consequences,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_d14875b87853734d,2022.0,graph_analysis,Mapping brain-wide excitatory projectome of primate prefrontal cortex at submicron resolution and comparison with diffusion tracto,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_d1b5cbfd0840a3bb,2017.0,,Optogenetic Mapping of Synaptic Connections in Mouse Brain Slices to Definethe Functional Connectome of Identified Neuronal Popula,keep-rescued,optogenetic synaptic-connection mapping (alt modality)
work_d1c176b87a4825be,2019.0,infrastructure,Millisecond two-photon optical ribbon imaging for small-animal functional connectome study.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_d2aa9ba75c9f5683,2019.0,,Surfaceome dynamics during neuronal development and synaptic plasticity reveal system-wide surfaceome reorganization independent o,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_d3a28ecbfb6e7ac0,2017.0,graph_analysis,Methods to investigate the structure and connectivity of the nervous system,keep-rescued,structure/connectivity methods review
work_d4e79c82413eec90,2018.0,graph_analysis,On the number of limit cycles in asymmetric neural networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_d6ca901bd9155e1a,2026.0,,Learning using switching synaptic plasticity rules,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_d877a14b14e535c5,2026.0,modeling,Brain network dynamics determine tau presence while regional vulnerability governs tau load in Alzheimer’s disease,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_d9b7b7ed16c392bd,2023.0,graph_analysis;modeling,Inferring Causality from Time Series data based on Structural Causal Model and its application to Neural Connectomics,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_dae60e0b7681ea0c,2024.0,,Strategies to dissect microglia-synaptic interactions during aging and in Alzheimer's disease.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_dbf620e436498336,2020.0,graph_analysis,Mesoscopic architecture enhances communication across the macaque connectome revealing structure-function correspondence in the br,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_de58c22dcfdaa6ef,2021.0,graph_analysis,Hierarchical timescales in the neocortex: Mathematical mechanism and biological insights,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_e00aa02a171f6969,2018.0,graph_analysis,The Nomenclature of Human White Matter Association Pathways: Proposal for a Systematic Taxonomic Anatomical Classification,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_e19cbdf063fc53c2,2026.0,graph_analysis;infrastructure,Biologically grounded on-chip model identifies selective topographic reorganization within hyperexcitable corticostriatal networks,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_e1dcb9a05897ad2e,2021.0,graph_analysis,Interpreting the Entire Connectivity of Individual Neurons in Micropatterned Neural Culture With an Integrated Connectome Analyzer,keep-rescued,in vitro whole-neuron connectivity mapping (alt modality)
work_e2c6961ec9c7fead,2024.0,,NPY-mediated synaptic plasticity in the extended amygdala prioritizes feeding during starvation,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_e2cbde329dc5c463,2018.0,,A Review of Network Inference Techniques for Neural Activation Time Series,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_e92f9c9a00060515,2017.0,graph_analysis,Cortical Circuits from Scratch: A Metaplastic Architecture for the Emergence of Lognormal Firing Rates and Realistic Topology,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_ed1105fea494cf4f,2024.0,graph_analysis,Where Top-Down Meets Bottom-Up: Cell-Type Specific Connectivity Map of the Whisker System,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_eeb0c8d7348a2bd4,2025.0,,Contribution of neurons that express fruitless and Clock transcription factors to behavioral rhythms and courtship,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_f0afa8050fa1b3ad,2020.0,,Analysis of Synaptic Microcircuits in the Mushroom Bodies of the Honeybee,keep-rescued,honeybee MB synaptic microcircuits (EM)
work_f32b6d4440c563fd,2023.0,,Brain Structure and Function: Insights from Chemical Neuroanatomy,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_f3534e571d79cff0,2014.0,graph_analysis;infrastructure,Self-organization of microcircuits in networks of neurons with plastic synapses,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_f4bec50e6c6ea50f,2011.0,graph_analysis,Optimizing the Quantity/Quality Trade-Off in Connectome Inference,keep-rescued,connectome-inference statistics
work_f568e1792e2e09e3,2002.0,,Regulation of Synaptic Connectivity: Levels of Fasciclin II Influence Synaptic Growth in the Drosophila CNS,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_f7d82000e0d7fff7,2020.0,graph_analysis;modeling,Neuro-PC: Causal Functional Connectivity from Neural Dynamics,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_f7de2c7e522ececa,2020.0,,Synapse type-specific proteomic dissection identifies IgSF8 as a hippocampal CA3 microcircuit organizer,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_f9c6ae5203a2fdaf,2021.0,graph_analysis,Frozen algorithms: how the brain's wiring facilitates learning,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_f9de684616d77e52,2019.0,,Multimodal cell type correspondence by intersectional mFISH in intact tissues,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_fbb0bef8a2519be4,2012.0,graph_analysis;infrastructure;modeling,An open architecture for the massively parallel emulation of the Drosophila brain on multiple GPUs,keep-rescued,fly brain emulation infrastructure (Neurokernel)
work_fc4395dbd3ff1652,2022.0,,Networking of the Human Cerebellum: From Anatomo-Functional Development to Neurosurgical Implications,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_fcbe6f1bc002cc56,2023.0,,Modulation of aversive value coding in the vertebrate and invertebrate brain.,drop-confirmed,"fails two-sided filter: macroscale/theory/molecular/functional-only, no nanoscale tie"
work_ff7b8e3b7dee18f2,2020.0,infrastructure,Drosophila Brain Functional Data Analysis: A Unified Framework,keep-rescued,fly functional-data analysis framework
