idx,a,b,decision,reason,a_title,b_title
144,work_1b41887b5b849c90,work_e1729e254cf16f0b,reject,series papers on different brain structures,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic De
145,work_1b41887b5b849c90,work_ebb5cbb34f978077,reject,series papers on different brain structures,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic De
146,work_21172651321be0c9,work_324fa11700fbfc52,link,conference-abstract version of same study,Transforming FIB-SEM Systems for Large-Volume Connectomics and Cell Bi,Breaking Barriers of FIB-SEM for Large Volume Connectomics and Cell Bi
147,work_d8dd48a5b851016b,work_18264164a76d2465,link,conference-abstract version of same study,Focal and connectomic statistical parametric mapping of transiently di,A framework for focal and connectomic mapping of transiently disrupted
148,work_21ca1a6a685fb238,work_1b41887b5b849c90,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 17: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 16: Tractographic De
149,work_21ca1a6a685fb238,work_93440c8f56e857c5,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 17: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 14: Tractographic De
150,work_728c41c779e0c4ad,work_91a7d484b5f7fde6,reject,different patient-population studies,Abnormalities of the Brain Connectome in Patients with Multiple Sclero,Abnormalities of the Brain Functional Connectome in Pediatric Patients
151,work_c700043aaf02b71f,work_21ca1a6a685fb238,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 12: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 17: Tractographic De
152,work_21ca1a6a685fb238,work_e1729e254cf16f0b,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 17: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic De
153,work_21ca1a6a685fb238,work_ebb5cbb34f978077,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 17: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 11: Tractographic De
154,work_d2cf5ae3fcec1d76,work_c700043aaf02b71f,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 13: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 12: Tractographic De
155,work_d2cf5ae3fcec1d76,work_e1729e254cf16f0b,reject,distinct chapters of the same atlas series,A Connectomic Atlas of the Human Cerebrum-Chapter 13: Tractographic De,A Connectomic Atlas of the Human Cerebrum-Chapter 10: Tractographic De
156,work_ca363b7087c45440,work_b02a08a25205f85d,link,same contribution across venues (v3 dedup rule),RLCorrector: Reinforced Proofreading for Connectomics Image Segmentati,RLCorrector: Reinforced Proofreading for Cell-level Microscopy Image S
157,work_e9f557c65b23f07d,work_3737b4da7f4cfb1c,reject,functional vs structural companion studies,Resting-State Networks and the Functional Connectome of the Human Brai,The Structural Connectome of the Human Brain in Agenesis of the Corpus
158,work_165f100ce8761153,work_e47b5df65b344c69,link,eLife author-response artifact of same article,"SynEM , Automated synapse 1 detection for connectomics 2","Author response: SynEM, automated synapse detection for connectomics"
159,work_5ed8dc6839b450eb,work_e4d691c8103623dc,reject,"incremental conference papers, distinct contributions",Extension to distributed annotation system: Summary and summaryplot co,Extension to Distributed Annotation System: Summary command
160,work_5fb95c6304c0c71b,work_a88582836a872e1e,reject,series papers on different brain structures,Parcellation-based modeling of the dorsal premotor area.,Parcellation-based modeling of the supplementary motor area.
161,work_0537e888fd7c3be9,work_b2b287b17fb9a689,reject,"article vs book chapter, distinct",Relationship between neuronal network architecture and naming performa,Neuronal network architecture and temporal lobe epilepsy: A connectome
