normalized_name_block,exact_normalized_name_match,author_id_a,author_id_b,name_a,name_b,retained_papers_a,retained_papers_b,same_name_direct_coauthor,shared_coauthor_names,coauthor_jaccard,axis_jaccard,year_overlap,classification,recommended_action
p sorrentino,True,2356247904,2268852455,P. Sorrentino,P. Sorrentino,2,2,False,5,0.185185,0.5,False,ambiguous_name_collision,manual_review
j duncan,True,117441402,48990117,J. Duncan,J. Duncan,1,2,False,5,0.178571,0.666667,False,ambiguous_name_collision,manual_review
kea joo lee,True,1390767513,2243263227,Kea-Joo Lee,Kea Joo Lee,5,2,False,5,0.16129,0.0,False,ambiguous_name_collision,manual_review
j cortes,True,144616731,2173917762,J. Cortes,J. Cortes,6,1,False,5,0.142857,0.25,False,ambiguous_name_collision,manual_review
bennett landman,False,2239208043,2318038614,Bennett A. Landman,Bennett Landman,3,3,False,5,0.138889,1.0,False,ambiguous_name_collision,manual_review
ching po lin,True,2146113922,2146114946,Ching-Po Lin,Ching-Po Lin,4,1,False,5,0.128205,0.5,False,ambiguous_name_collision,manual_review
rebecca mcwhirter,False,4611610,2111506446,Rebecca D. McWhirter,Rebecca M. McWhirter,2,1,False,5,0.121951,0.0,False,ambiguous_name_collision,manual_review
j polimeni,True,79899557,2303260991,J. Polimeni,J. Polimeni,4,1,False,5,0.104167,0.5,False,ambiguous_name_collision,manual_review
enrico amico,True,2185612469,2292868024,Enrico Amico,Enrico Amico,3,2,False,5,0.098039,0.333333,True,ambiguous_name_collision,manual_review
lori beason held,True,1398603401,2408656428,Lori L. Beason-Held,Lori L. Beason Held,5,1,False,5,0.098039,1.0,False,ambiguous_name_collision,manual_review
stephen smith,True,152225255,2149153607,Stephen J. Smith,Stephen J. Smith,2,2,False,5,0.089286,0.0,True,ambiguous_name_collision,manual_review
s eickhoff,True,1717616,2256438152,S. Eickhoff,S. Eickhoff,9,4,False,5,0.072464,0.666667,False,ambiguous_name_collision,manual_review
aaron kuan,True,3184334,2265245061,Aaron T. Kuan,Aaron T. Kuan,8,3,False,5,0.068493,0.25,False,ambiguous_name_collision,manual_review
a zalesky,True,3200076,2306748599,A. Zalesky,A. Zalesky,33,1,False,5,0.059524,0.6,False,ambiguous_name_collision,manual_review
daniel moyer,True,2239208267,6964082,Daniel Moyer,Daniel Moyer,7,6,False,5,0.052632,0.333333,True,ambiguous_name_collision,manual_review
hui gong,True,2242681871,2320556068,Hui Gong,Hui Gong,2,2,False,5,0.052083,1.0,False,ambiguous_name_collision,manual_review
hanspeter pfister,True,2243182075,2062947008,Hanspeter Pfister,Hanspeter Pfister,7,2,False,5,0.04717,0.333333,True,ambiguous_name_collision,manual_review
mingrui xia,True,34921129,2252098228,Mingrui Xia,Mingrui Xia,19,2,False,5,0.045455,0.5,False,ambiguous_name_collision,manual_review
f castellanos,False,2274994535,1981339,F. X. Castellanos,F. Castellanos,2,3,False,5,0.044643,0.5,False,ambiguous_name_collision,manual_review
anan li,True,37322604,2336593507,Anan Li,Anan Li,4,3,False,5,0.04,1.0,False,ambiguous_name_collision,manual_review
t satterthwaite,True,2367506656,2213003,T. Satterthwaite,T. Satterthwaite,2,7,False,5,0.037594,0.333333,True,ambiguous_name_collision,manual_review
anan li,True,37322604,2141519647,Anan Li,Anan Li,4,2,False,5,0.036765,1.0,False,ambiguous_name_collision,manual_review
d stein,True,145708229,145675071,D. Stein,D. Stein,1,1,False,5,0.036496,1.0,False,ambiguous_name_collision,manual_review
p thompson,True,145363223,2258889863,P. Thompson,P. Thompson,6,1,False,5,0.02451,0.333333,False,ambiguous_name_collision,manual_review
b bernhardt,True,2977883,2307086123,B. Bernhardt,B. Bernhardt,34,1,False,5,0.016077,0.4,False,ambiguous_name_collision,manual_review
karen mcfarland,True,2358823021,2245500973,Karen N McFarland,Karen N. McFarland,1,1,False,4,1.0,1.0,False,ambiguous_name_collision,manual_review
paramita chakrabarty,True,2329752295,2276213802,Paramita Chakrabarty,Paramita Chakrabarty,1,1,False,4,1.0,1.0,False,ambiguous_name_collision,manual_review
m bellgrove,True,2214609,5449685,M. Bellgrove,M. Bellgrove,2,1,False,4,0.5,1.0,False,ambiguous_name_collision,manual_review
haotian jiang,True,2254582226,144417194,Haotian Jiang,Haotian Jiang,1,1,False,4,0.444444,1.0,False,ambiguous_name_collision,manual_review
ying lin,True,49415945,2117032677,Ying Lin,Ying Lin,1,1,False,4,0.444444,0.0,False,ambiguous_name_collision,manual_review
yong xia,True,2256029667,144344681,Yong Xia,Yong Xia,1,1,False,4,0.444444,1.0,False,ambiguous_name_collision,manual_review
yue gu,True,49986580,1677660432,Yue Gu,Yue Gu,1,1,False,4,0.444444,0.0,False,ambiguous_name_collision,manual_review
m hart,True,145335044,2052049220,M. Hart,M. Hart,5,2,False,4,0.333333,1.0,False,ambiguous_name_collision,manual_review
carl yang,True,1390553618,2301265330,Carl Yang,Carl Yang,2,3,False,4,0.307692,0.333333,False,ambiguous_name_collision,manual_review
b latal,True,5035148,2243736271,B. Latal,B. Latal,1,1,False,4,0.285714,0.666667,False,ambiguous_name_collision,manual_review
carl yang,True,2301265330,2695365,Carl Yang,Carl Yang,3,1,False,4,0.285714,1.0,False,ambiguous_name_collision,manual_review
adriana di martino,True,2234619598,2412749860,Adriana Di Martino,Adriana Di Martino,1,1,False,4,0.266667,0.0,False,ambiguous_name_collision,manual_review
jiquan ma,True,2254336617,2315983,Jiquan Ma,Jiquan Ma,1,2,False,4,0.266667,1.0,False,ambiguous_name_collision,manual_review
meiqi niu,True,151503129,2279101200,Meiqi Niu,Meiqi Niu,2,1,False,4,0.25,1.0,False,ambiguous_name_collision,manual_review
xihe xie,True,2374585790,49419114,Xihe Xie,Xihe Xie,2,2,False,4,0.25,1.0,False,ambiguous_name_collision,manual_review
j armstrong,False,2242820397,143873116,J. D. Armstrong,J. Armstrong,1,1,False,4,0.235294,0.0,False,ambiguous_name_collision,manual_review
geng chen,True,2254838928,143808551,Geng Chen,Geng Chen,1,3,False,4,0.222222,1.0,False,ambiguous_name_collision,manual_review
daniel bliss,True,2612646,2329086110,Daniel P. Bliss,Daniel P. Bliss,3,1,False,4,0.210526,1.0,False,ambiguous_name_collision,manual_review
paul martin,True,144267284,2256781036,Paul R. Martin,Paul R. Martin,1,1,False,4,0.210526,0.0,False,ambiguous_name_collision,manual_review
bennett landman,False,2254551021,2318038614,Bennett A. Landman,Bennett Landman,1,3,False,4,0.190476,1.0,False,ambiguous_name_collision,manual_review
c hagmann,True,2242615683,46534952,C. Hagmann,C. Hagmann,2,1,False,4,0.190476,0.666667,False,ambiguous_name_collision,manual_review
w knirsch,True,2267073165,3939431,W. Knirsch,W. Knirsch,2,1,False,4,0.190476,0.666667,False,ambiguous_name_collision,manual_review
xiao jing wang,True,1519971010,2255804158,Xiao-Jing Wang,Xiao-Jing Wang,6,1,False,4,0.190476,1.0,False,ambiguous_name_collision,manual_review
brian robinson,True,2285317591,2221335,Brian S. Robinson,Brian S. Robinson,1,1,False,4,0.181818,0.0,False,ambiguous_name_collision,manual_review
hao huang,True,7192555,2237270758,Hao Huang,Hao Huang,5,1,False,4,0.16,0.5,False,ambiguous_name_collision,manual_review
a jakab,True,2250525381,153194548,A. Jakab,A. Jakab,4,1,False,4,0.148148,0.666667,False,ambiguous_name_collision,manual_review
a mcevoy,True,83328011,2272985640,A. McEvoy,A. Mcevoy,1,2,False,4,0.137931,0.666667,False,ambiguous_name_collision,manual_review
arianna sala,True,2257876139,48706230,Arianna Sala,Arianna Sala,1,1,False,4,0.117647,0.5,False,ambiguous_name_collision,manual_review
d perani,True,2238763295,3291618,D. Perani,D. Perani,1,1,False,4,0.117647,0.5,False,ambiguous_name_collision,manual_review
bennett landman,False,2133475009,2318038614,Bennett A. Landman,Bennett Landman,3,3,False,4,0.102564,0.5,False,ambiguous_name_collision,manual_review
jacob vogel,True,50544684,2276217291,Jacob W. Vogel,Jacob W Vogel,1,1,False,4,0.1,0.5,False,ambiguous_name_collision,manual_review
a mechelli,True,2304313808,3317342,A. Mechelli,A. Mechelli,1,3,False,4,0.097561,1.0,False,ambiguous_name_collision,manual_review
massimo filippi,True,2241603367,2136893351,Massimo Filippi,Massimo Filippi,1,5,False,4,0.095238,0.666667,False,ambiguous_name_collision,manual_review
hua han,True,50434167,2223984386,Hua Han,Hua Han,11,2,False,4,0.085106,0.2,False,ambiguous_name_collision,manual_review
erik johnson,True,2118693758,2281796979,Erik C. Johnson,Erik C. Johnson,6,3,False,4,0.081633,0.333333,False,ambiguous_name_collision,manual_review
susie huang,True,2297252505,2277810223,Susie Y Huang,Susie Y. Huang,3,2,False,4,0.081633,0.333333,True,ambiguous_name_collision,manual_review
jacob vogel,True,50544684,2220002518,Jacob W. Vogel,Jacob W. Vogel,1,2,False,4,0.075472,0.5,False,ambiguous_name_collision,manual_review
p sorrentino,True,4540646,2356247904,P. Sorrentino,P. Sorrentino,10,2,False,4,0.075472,0.5,False,ambiguous_name_collision,manual_review
alexandra badea,True,144014548,2254973337,Alexandra Badea,Alexandra Badea,4,12,False,4,0.074074,0.5,True,ambiguous_name_collision,manual_review
aravinthan samuel,False,1744897,2375987390,Aravinthan D. T. Samuel,Aravinthan Samuel,7,1,False,4,0.067797,0.0,False,ambiguous_name_collision,manual_review
s eickhoff,True,2299122942,1717616,S. Eickhoff,S. Eickhoff,1,9,False,4,0.063492,0.333333,False,ambiguous_name_collision,manual_review
gong jun ji,True,2879721,2237880440,Gong-Jun Ji,Gong-jun Ji,2,1,False,4,0.061538,1.0,False,ambiguous_name_collision,manual_review
jonathan smallwood,True,2539844,2258925777,Jonathan Smallwood,Jonathan Smallwood,6,1,False,4,0.054795,0.333333,False,ambiguous_name_collision,manual_review
derek jones,True,46444576,2158112540,Derek K. Jones,Derek K. Jones,12,2,False,4,0.054054,0.5,False,ambiguous_name_collision,manual_review
tao jiang,True,1825765884,2339730011,Tao Jiang,Tao Jiang,5,1,False,4,0.039216,1.0,False,ambiguous_name_collision,manual_review
f castellanos,False,1981339,2247916403,F. Castellanos,F. X. Castellanos,3,2,False,4,0.036036,0.5,True,ambiguous_name_collision,manual_review
kaiyu wang,True,2324210492,122782604,Kaiyu Wang,Kaiyu Wang,2,3,False,4,0.034483,0.666667,False,ambiguous_name_collision,manual_review
r fetter,False,2596869,2250923435,R. Fetter,R. D. Fetter,17,2,False,4,0.030303,0.0,True,ambiguous_name_collision,manual_review
michael reiser,True,3307045,2304908466,Michael B. Reiser,Michael B Reiser,8,1,False,4,0.029851,0.0,True,ambiguous_name_collision,manual_review
p kochunov,True,144886405,2253433463,P. Kochunov,P. Kochunov,12,1,False,4,0.028986,0.333333,False,ambiguous_name_collision,manual_review
p thompson,True,2149570536,145363223,P. Thompson,P. Thompson,2,6,False,4,0.018605,0.333333,True,ambiguous_name_collision,manual_review
c xu,True,2442565851,2216621604,C. Xu,C. Xu,17,1,False,4,0.017621,0.142857,True,ambiguous_name_collision,manual_review
yong he,True,145475635,2298522996,Yong He,Yong He,38,2,False,4,0.017391,0.25,False,ambiguous_name_collision,manual_review
youngjo song,True,2265933896,35180328,Youngjo Song,Youngjo Song,1,1,False,3,1.0,1.0,False,ambiguous_name_collision,manual_review
l agnati,True,1828303,2150554895,L. Agnati,L. Agnati,1,1,False,3,0.75,0.0,False,ambiguous_name_collision,manual_review
felix wang,True,46429372,2295846359,Felix Wang,Felix Wang,1,1,False,3,0.428571,0.0,False,ambiguous_name_collision,manual_review
j gotman,True,2071994,2242305304,J. Gotman,J. Gotman,1,1,False,3,0.428571,0.666667,False,ambiguous_name_collision,manual_review
c hess,True,2288005,2243748786,C. Hess,C. Hess,1,1,False,3,0.333333,0.0,False,ambiguous_name_collision,manual_review
carl yang,True,1390553618,2237940940,Carl Yang,Carl Yang,2,2,False,3,0.333333,0.333333,False,ambiguous_name_collision,manual_review
yuanzhe liu,True,2288244052,2143862892,Yuanzhe Liu,Yuanzhe Liu,2,1,False,3,0.272727,0.333333,False,ambiguous_name_collision,manual_review
chao zuo,True,46489902,2064203391,Chao Zuo,Chao Zuo,2,1,False,3,0.25,1.0,False,ambiguous_name_collision,manual_review
dan wu,True,2257409636,2262083282,Dan Wu,Dan Wu,1,1,False,3,0.25,0.0,False,ambiguous_name_collision,manual_review
yen yin lin,True,92989395,2159180977,Yen-Yin Lin,Yen-Yin Lin,1,1,False,3,0.25,1.0,False,ambiguous_name_collision,manual_review
b yeo,False,2377283735,2377283830,B. T. T. Yeo,B. Yeo,1,3,False,3,0.230769,1.0,False,ambiguous_name_collision,manual_review
chuan bi,True,2067836767,2264182656,Chuan Bi,Chuan Bi,2,1,False,3,0.230769,0.5,False,ambiguous_name_collision,manual_review
r shinohara,True,2238048515,2114637239,R. Shinohara,R. Shinohara,1,1,False,3,0.230769,0.0,False,ambiguous_name_collision,manual_review
s cox,True,1600505736,2249497170,S. Cox,S. Cox,1,1,False,3,0.230769,1.0,False,ambiguous_name_collision,manual_review
xingyu ding,True,2117436076,2277808571,Xingyu Ding,Xingyu Ding,3,1,False,3,0.230769,1.0,False,ambiguous_name_collision,manual_review
yu wang,True,2153609123,40987227,Yu Wang,Yu Wang,1,1,False,3,0.214286,0.5,False,ambiguous_name_collision,manual_review
chundi xu,True,2324552739,2115783580,Chundi Xu,Chundi Xu,1,2,False,3,0.2,0.0,False,ambiguous_name_collision,manual_review
l chalak,True,2239209185,3672682,L. Chalak,L. Chalak,1,1,False,3,0.1875,1.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2077479650,2254281045,Paul M. Thompson,Paul M. Thompson,3,1,False,3,0.1875,0.333333,False,ambiguous_name_collision,manual_review
erik johnson,True,2281796979,2148774359,Erik C. Johnson,Erik C. Johnson,3,1,False,3,0.166667,0.0,False,ambiguous_name_collision,manual_review
g johnson,False,2113448828,2241679478,G. A. Johnson,G. Johnson,2,1,False,3,0.166667,1.0,False,ambiguous_name_collision,manual_review
jason kim,True,2392759772,2268435341,Jason Z Kim,Jason Z. Kim,1,1,False,3,0.157895,0.5,False,ambiguous_name_collision,manual_review
wen zhang,True,49039960,2302284073,Wen Zhang,Wen Zhang,3,1,False,3,0.157895,1.0,False,ambiguous_name_collision,manual_review
bryan jones,True,2242323706,2284646348,Bryan W. Jones,Bryan W Jones,3,1,False,3,0.15,0.2,False,ambiguous_name_collision,manual_review
heng huang,True,2146257986,2252369635,Heng Huang,Heng Huang,6,1,False,3,0.142857,0.666667,False,ambiguous_name_collision,manual_review
xiao jing wang,True,1519971010,2118710538,Xiao-Jing Wang,Xiao-Jing Wang,6,2,False,3,0.142857,1.0,False,ambiguous_name_collision,manual_review
j duncan,False,117441402,2301329154,J. Duncan,J. S. Duncan,1,1,False,3,0.136364,0.666667,False,ambiguous_name_collision,manual_review
archana venkataraman,True,2242031740,2254292453,Archana Venkataraman,Archana Venkataraman,2,1,False,3,0.1,0.25,False,ambiguous_name_collision,manual_review
geng chen,True,2116389104,143808551,Geng Chen,Geng Chen,1,3,False,3,0.1,0.0,False,ambiguous_name_collision,manual_review
stephen smith,True,2149153544,2251948753,Stephen M. Smith,Stephen M. Smith,2,1,False,3,0.1,0.5,False,ambiguous_name_collision,manual_review
dani bassett,True,2190757065,2243284994,Dani S. Bassett,Dani S. Bassett,4,1,False,3,0.090909,0.0,False,ambiguous_name_collision,manual_review
derek jones,True,2249088512,2158112540,Derek K. Jones,Derek K. Jones,1,2,False,3,0.090909,1.0,True,ambiguous_name_collision,manual_review
duan xu,True,13385984,2239812608,Duan Xu,Duan Xu,6,1,False,3,0.090909,0.0,True,ambiguous_name_collision,manual_review
p kochunov,True,2331921584,2253433463,P. Kochunov,P. Kochunov,2,1,False,3,0.090909,1.0,True,ambiguous_name_collision,manual_review
s nagarajan,True,1758601,2286248125,S. Nagarajan,S. Nagarajan,5,4,False,3,0.090909,0.666667,True,ambiguous_name_collision,manual_review
tianzhou ma,True,2264078104,4345585,Tianzhou Ma,Tianzhou Ma,3,1,False,3,0.085714,1.0,True,ambiguous_name_collision,manual_review
yong he,True,2381068950,2239415360,Yong He,Yong He,1,3,False,3,0.085714,1.0,True,ambiguous_name_collision,manual_review
alex valcourt caron,True,2153960301,1483620325,Alex Valcourt-Caron,Alex Valcourt Caron,1,2,False,3,0.081081,0.333333,True,ambiguous_name_collision,manual_review
t tasdizen,True,2238111465,3198175,T. Tasdizen,T. Tasdizen,1,9,False,3,0.081081,0.0,True,ambiguous_name_collision,manual_review
t jones,True,32496340,2646100,T. Jones,T. Jones,3,1,False,3,0.076923,0.0,True,ambiguous_name_collision,manual_review
thomas euler,True,2674942,2251269780,Thomas Euler,Thomas Euler,6,1,False,3,0.076923,0.0,False,ambiguous_name_collision,manual_review
xi chen,True,2145306992,2296952207,Xi Chen,Xi Chen,8,1,False,3,0.075,0.0,False,ambiguous_name_collision,manual_review
k davis,True,51046501,2250383416,K. Davis,K. Davis,4,2,False,3,0.073171,1.0,False,ambiguous_name_collision,manual_review
ashish raj,True,2260635774,2237133965,Ashish Raj,Ashish Raj,7,2,False,3,0.069767,0.333333,True,ambiguous_name_collision,manual_review
s zipursky,True,145808427,2246446990,S. Zipursky,S. Zipursky,6,1,False,3,0.068182,0.0,True,ambiguous_name_collision,manual_review
c pantelis,True,8770059,49708201,C. Pantelis,C. Pantelis,5,1,False,3,0.066667,1.0,False,ambiguous_name_collision,manual_review
eilif muller,False,49110043,2276441570,Eilif B. Muller,Eilif Muller,5,1,False,3,0.06383,0.333333,True,ambiguous_name_collision,manual_review
linden parkes,True,33522651,2288283340,Linden Parkes,Linden Parkes,6,3,False,3,0.0625,1.0,True,ambiguous_name_collision,manual_review
hua han,True,50434167,2268512206,Hua Han,Hua Han,11,3,False,3,0.061224,0.166667,False,ambiguous_name_collision,manual_review
philipp berens,True,1689077,2306741084,Philipp Berens,Philipp Berens,6,1,False,3,0.06,0.0,False,ambiguous_name_collision,manual_review
t satterthwaite,True,2367506656,2328653445,T. Satterthwaite,T. Satterthwaite,2,3,False,3,0.06,0.5,True,ambiguous_name_collision,manual_review
derek jones,True,46444576,2249088512,Derek K. Jones,Derek K. Jones,12,1,False,3,0.058824,0.5,False,ambiguous_name_collision,manual_review
p nachev,True,2126033,2333526387,P. Nachev,P. Nachev,10,1,False,3,0.058824,0.25,True,ambiguous_name_collision,manual_review
n shu,True,145767162,2238925630,N. Shu,N. Shu,7,2,False,3,0.056604,0.5,False,ambiguous_name_collision,manual_review
hui gong,True,2320556068,2118178813,Hui Gong,Hui Gong,2,2,False,3,0.053571,1.0,False,ambiguous_name_collision,manual_review
kai wang,True,2148896264,12436933,Kai Wang,Kai Wang,1,1,False,3,0.053571,0.5,False,ambiguous_name_collision,manual_review
hui gong,True,2242681871,2118178813,Hui Gong,Hui Gong,2,2,False,3,0.050847,1.0,False,ambiguous_name_collision,manual_review
x yang,False,2247113712,2107540947,X. Yang,X. W. Yang,1,1,False,3,0.05,0.0,False,ambiguous_name_collision,manual_review
william gray roncal,True,119683714,1384052997,William Gray Roncal,William Gray-Roncal,4,8,False,3,0.047619,0.142857,False,ambiguous_name_collision,manual_review
ching po lin,True,2146113922,1826530,Ching-Po Lin,Ching-Po Lin,4,2,False,3,0.045455,0.0,True,ambiguous_name_collision,manual_review
andrew zalesky,True,2268614097,2239407747,Andrew Zalesky,Andrew Zalesky,9,4,False,3,0.041667,0.6,True,ambiguous_name_collision,manual_review
du lei,True,103081831,2064825769,Du Lei,Du Lei,12,1,False,3,0.038961,0.666667,False,ambiguous_name_collision,manual_review
albert cardona,True,2122284027,2360774246,Albert Cardona,Albert Cardona,12,1,False,3,0.037975,0.142857,True,ambiguous_name_collision,manual_review
nathan klapoetke,True,2292125960,4408077,Nathan C Klapoetke,Nathan C. Klapoetke,3,1,False,3,0.037037,0.5,False,ambiguous_name_collision,manual_review
mingrui xia,True,34921129,2285512469,Mingrui Xia,Mingrui Xia,19,1,False,3,0.029126,0.5,False,ambiguous_name_collision,manual_review
ye he,True,48479545,2136362102,Ye He,Ye He,7,1,False,3,0.028037,0.0,False,ambiguous_name_collision,manual_review
d berger,True,35725792,2053460224,D. Berger,D. Berger,12,1,False,3,0.027027,0.166667,True,ambiguous_name_collision,manual_review
f castellanos,False,2361004201,1981339,F. X. Castellanos,F. Castellanos,3,3,False,3,0.026316,0.333333,True,ambiguous_name_collision,manual_review
j duncan,False,145811086,2301329154,J. Duncan,J. S. Duncan,6,1,False,3,0.026316,1.0,False,ambiguous_name_collision,manual_review
j duncan,True,145811086,117441402,J. Duncan,J. Duncan,6,1,False,3,0.026087,0.666667,True,ambiguous_name_collision,manual_review
quanxin wang,True,2300020452,2104950,Quanxin Wang,Quanxin Wang,2,3,False,3,0.025862,0.5,False,ambiguous_name_collision,manual_review
c tax,True,3200697,2265389674,C. Tax,C. Tax,8,1,False,3,0.025424,0.333333,True,ambiguous_name_collision,manual_review
s vos,True,2816711,35255410,S. Vos,S. Vos,7,1,False,3,0.02521,0.666667,True,ambiguous_name_collision,manual_review
xiangning li,True,2432146,2333221544,Xiangning Li,Xiangning Li,5,1,False,3,0.022388,1.0,True,ambiguous_name_collision,manual_review
chiara maffei,True,2260322769,49205243,Chiara Maffei,Chiara Maffei,1,7,False,3,0.021429,0.5,False,ambiguous_name_collision,manual_review
s jbabdi,True,1710263,2239107659,S. Jbabdi,S. Jbabdi,14,2,False,3,0.017964,0.5,True,ambiguous_name_collision,manual_review
f agosta,True,2497261,2242487244,F. Agosta,F. Agosta,22,1,False,3,0.015873,0.333333,True,ambiguous_name_collision,manual_review
jingpeng wu,True,2242996095,31421132,Jingpeng Wu,Jingpeng Wu,1,23,False,3,0.015789,0.111111,True,ambiguous_name_collision,manual_review
yong he,True,145475635,2381068950,Yong He,Yong He,38,1,False,3,0.014634,0.25,True,ambiguous_name_collision,manual_review
w katz,False,50026221,121704985,W. Katz,W. M. Katz,11,1,False,3,0.014019,0.428571,True,ambiguous_name_collision,manual_review
p thompson,False,2412795623,2302521438,P. Thompson,P. M. Thompson,33,1,False,3,0.008264,0.25,False,ambiguous_name_collision,manual_review
d margulies,True,12721071,2205626203,D. Margulies,D. Margulies,17,1,False,3,0.008197,0.25,False,ambiguous_name_collision,manual_review
p thompson,True,2412795623,2149570536,P. Thompson,P. Thompson,33,2,False,3,0.008065,0.25,False,ambiguous_name_collision,manual_review
meimei liu,True,2257333698,46332230,Meimei Liu,Meimei Liu,1,1,False,2,1.0,1.0,False,ambiguous_name_collision,manual_review
ashwani jha,True,2411544224,2264507627,Ashwani Jha,Ashwani Jha,1,1,False,2,0.666667,0.0,False,ambiguous_name_collision,manual_review
yinghua fu,True,2372422467,2315637928,Yinghua Fu,Yinghua Fu,2,1,False,2,0.666667,1.0,False,ambiguous_name_collision,manual_review
guillaume lajoie,True,2261390836,49921594,Guillaume Lajoie,Guillaume Lajoie,1,1,False,2,0.4,0.5,False,ambiguous_name_collision,manual_review
jeffrey smith,True,2242509660,2118955613,Jeffrey C. Smith,Jeffrey C. Smith,1,1,False,2,0.4,0.0,False,ambiguous_name_collision,manual_review
sarthak chandra,True,35270307,2268394168,Sarthak Chandra,Sarthak Chandra,2,1,False,2,0.4,1.0,False,ambiguous_name_collision,manual_review
g bor szil gyi,False,2249469776,2060528084,Gábor Szilágyi,Gábor S. Szilágyi,1,1,False,2,0.333333,0.0,False,ambiguous_name_collision,manual_review
jagath rajapakse,False,2264332959,3906447,Jagath C. Rajapakse,Jagath Rajapakse,1,2,False,2,0.333333,0.666667,False,ambiguous_name_collision,manual_review
bo du,True,2276206781,2407706774,Bo Du,Bo Du,2,1,False,2,0.285714,0.166667,False,ambiguous_name_collision,manual_review
c hess,False,2084554112,2243748786,C. P. Hess,C. Hess,1,1,False,2,0.285714,0.0,False,ambiguous_name_collision,manual_review
g johnson,True,2241679478,2250191335,G. Johnson,G. Johnson,1,1,False,2,0.25,0.5,False,ambiguous_name_collision,manual_review
xi chen,True,41192764,2296952207,Xi Chen,Xi Chen,1,1,False,2,0.25,0.0,False,ambiguous_name_collision,manual_review
yonggui yuan,True,113701508,2288378038,Yonggui Yuan,Yonggui Yuan,1,2,False,2,0.25,0.5,False,ambiguous_name_collision,manual_review
bohao chen,True,8567788,2327956431,Bohao Chen,Bohao Chen,2,1,False,2,0.222222,0.0,False,ambiguous_name_collision,manual_review
yu ping wang,True,2349823444,46394229,Yu-Ping Wang,Yu-ping Wang,1,1,False,2,0.222222,0.0,False,ambiguous_name_collision,manual_review
wenhan wang,True,2134795677,2127991736,Wenhan Wang,Wenhan Wang,2,1,False,2,0.2,0.5,False,ambiguous_name_collision,manual_review
carl yang,True,2301265330,2237940940,Carl Yang,Carl Yang,3,2,False,2,0.181818,1.0,False,ambiguous_name_collision,manual_review
carl yang,True,2237940940,2695365,Carl Yang,Carl Yang,2,1,False,2,0.181818,1.0,False,ambiguous_name_collision,manual_review
j gotman,True,2310811889,2242305304,J. Gotman,J. Gotman,1,1,False,2,0.166667,0.5,False,ambiguous_name_collision,manual_review
n toschi,True,2958393,2237814370,N. Toschi,N. Toschi,2,2,False,2,0.166667,0.0,False,ambiguous_name_collision,manual_review
c hess,False,2084554112,2288005,C. P. Hess,C. Hess,1,1,False,2,0.153846,0.5,False,ambiguous_name_collision,manual_review
laura su rez,True,2294464526,1382073829,Laura E. Suárez,Laura E. Suárez,2,1,False,2,0.153846,0.333333,False,ambiguous_name_collision,manual_review
yu ping wang,True,2349823444,2143488876,Yu-Ping Wang,Yu-Ping Wang,1,2,False,2,0.153846,0.5,False,ambiguous_name_collision,manual_review
dani bassett,True,2243284994,2293381120,Dani S. Bassett,Dani S. Bassett,1,1,False,2,0.142857,0.0,False,ambiguous_name_collision,manual_review
b yeo,False,2033767520,2377283830,B. T. Yeo,B. Yeo,1,3,False,2,0.133333,1.0,False,ambiguous_name_collision,manual_review
g ruocco,True,2920586,2204540267,G. Ruocco,G. Ruocco,2,2,False,2,0.133333,0.0,False,ambiguous_name_collision,manual_review
olaf sporns,True,2262343041,2238443848,Olaf Sporns,Olaf Sporns,1,1,False,2,0.133333,0.0,False,ambiguous_name_collision,manual_review
paul thompson,True,2077479650,2267464100,Paul M. Thompson,Paul M Thompson,3,1,False,2,0.133333,0.333333,False,ambiguous_name_collision,manual_review
pooja balaram,True,2265592962,46463906,Pooja Balaram,Pooja Balaram,1,1,False,2,0.125,0.0,False,ambiguous_name_collision,manual_review
mathias wernet,True,2261372595,2751438,Mathias F. Wernet,Mathias F. Wernet,3,1,False,2,0.117647,0.0,False,ambiguous_name_collision,manual_review
g el fakhri,True,1403937962,144521864,G. El-Fakhri,G. El Fakhri,1,1,False,2,0.111111,0.0,False,ambiguous_name_collision,manual_review
yu zhang,True,115116889,2251663542,Yu Zhang,Yu Zhang,7,1,False,2,0.111111,0.25,False,ambiguous_name_collision,manual_review
b manjunath,False,143900942,50591689,B. Manjunath,B. S. Manjunath,4,1,False,2,0.1,0.25,False,ambiguous_name_collision,manual_review
heng huang,True,2146257986,2347484108,Heng Huang,Heng Huang,6,1,False,2,0.1,0.666667,False,ambiguous_name_collision,manual_review
j cabral,True,145463318,2149249638,J. Cabral,J. Cabral,5,1,False,2,0.1,0.5,False,ambiguous_name_collision,manual_review
a quartarone,True,2240958824,2265160111,A. Quartarone,A. Quartarone,2,1,False,2,0.095238,1.0,False,ambiguous_name_collision,manual_review
feng xiong,True,2274446489,2068170753,Feng Xiong,Feng Xiong,2,1,False,2,0.095238,1.0,False,ambiguous_name_collision,manual_review
shuo chen,True,2108807430,2300201900,Shuo Chen,Shuo Chen,2,1,False,2,0.095238,1.0,False,ambiguous_name_collision,manual_review
j fiehler,True,3272096,2238282281,J. Fiehler,J. Fiehler,2,1,False,2,0.083333,0.333333,False,ambiguous_name_collision,manual_review
